State,12_or_Older,12_17,18_25,26_or_Older,18_or_Older
Total U.S.,"139,003","2,632","20,591","115,780","136,371"
Northeast,"27,037",520,"3,936","22,581","26,517"
Midwest,"30,747",552,"4,592","25,602","30,194"
South,"48,617",920,"7,273","40,424","47,697"
West,"32,602",639,"4,789","27,174","31,963"
Alabama,"1,779",33,276,"1,470","1,745"
Alaska,319,7,52,261,313
Arizona,"2,865",57,418,"2,390","2,808"
Arkansas,"1,024",22,165,838,"1,002"
California,"16,688",334,"2,534","13,820","16,354"
Colorado,"2,651",52,397,"2,202","2,599"
Connecticut,"1,844",39,259,"1,546","1,805"
Delaware,425,7,62,356,418
District of Columbia,393,4,70,320,389
Florida,"9,369",150,"1,168","8,051","9,219"
Georgia,"4,058",76,614,"3,369","3,983"
Hawaii,538,10,78,450,527
Idaho,595,15,83,498,581
Illinois,"5,826",101,840,"4,884","5,725"
Indiana,"2,761",54,444,"2,263","2,707"
Iowa,"1,451",25,237,"1,189","1,426"
Kansas,"1,241",25,195,"1,021","1,216"
Kentucky,"1,560",28,240,"1,293","1,532"
Louisiana,"1,906",40,297,"1,569","1,866"
Maine,696,12,84,601,684
Maryland,"2,921",55,392,"2,474","2,866"
Massachusetts,"3,357",60,545,"2,752","3,297"
Michigan,"4,517",84,677,"3,756","4,433"
Minnesota,"2,709",46,375,"2,288","2,663"
Mississippi,965,21,158,785,943
Missouri,"2,562",46,390,"2,127","2,516"
Montana,499,7,69,423,492
Nebraska,886,13,133,739,872
Nevada,"1,259",30,164,"1,065","1,229"
New Hampshire,729,13,98,618,716
New Jersey,"4,271",97,570,"3,605","4,175"
New Mexico,807,16,127,665,791
New York,"9,144",179,"1,371","7,594","8,965"
North Carolina,"3,790",64,593,"3,134","3,726"
North Dakota,360,6,73,281,354
Ohio,"5,109",95,752,"4,262","5,014"
Oklahoma,"1,460",32,249,"1,179","1,428"
Oregon,"1,997",34,261,"1,701","1,962"
Pennsylvania,"6,130",106,873,"5,152","6,024"
Rhode Island,536,10,84,442,526
South Carolina,"1,865",32,305,"1,528","1,833"
South Dakota,403,7,63,333,396
Tennessee,"2,382",41,359,"1,981","2,340"
Texas,"10,499",235,"1,678","8,587","10,264"
Utah,728,16,132,581,713
Vermont,330,6,52,271,324
Virginia,"3,572",67,544,"2,961","3,505"
Washington,"3,395",57,436,"2,903","3,338"
West Virginia,648,13,106,529,635
Wisconsin,"2,923",50,414,"2,459","2,872"
Wyoming,261,5,39,217,257
