State,Year,Total # Polled,Percent Ages 12-17,Percent Ages 18-25,Percent Ages 26+,Percent Ages 18+
Alabama,2013,"1,752",2.4543379,15.58219178,81.90639269,97.54566209999999
Alabama,2014,"1,803",2.218524681,15.25235718,82.52911814,97.78147532
Alabama,2015,"1,779",1.854974705,15.5143339,82.63069140000002,98.08881394
Alabama,2016,"1,656",1.871980676,16.00241546,82.18599034,98.1884058
Alabama,2017,"1,709",1.930953774,15.15506144,82.91398479,98.01053248
Alaska,2013,306,1.960784314,15.35947712,82.67973856,97.7124183
Alaska,2014,313,1.9169329069999999,15.97444089,82.1086262,98.08306709
Alaska,2015,319,2.194357367,16.30094044,81.81818182,98.11912226
Alaska,2016,307,1.9543973940000001,15.30944625,82.73615635,98.04560261
Alaska,2017,302,1.986754967,13.90728477,84.10596026,98.01324503
Arizona,2013,"2,762",2.534395366,15.0615496,82.44026068,97.46560463
Arizona,2014,"2,846",2.2839072380000003,14.93323963,82.81799016,97.75122979999999
Arizona,2015,"2,865",1.9895287959999999,14.58987784,83.42059337,98.01047120000001
Arizona,2016,"2,901",1.516718373,13.89176146,84.59152017,98.48328163
Arizona,2017,"2,917",1.5769626330000002,13.47274597,84.95029140000001,98.45731916
Arkansas,2013,"1,007",2.581926514,17.47765641,79.94041708,97.41807349
Arkansas,2014,"1,035",2.222222222,17.00483092,80.77294686,97.77777778
Arkansas,2015,"1,024",2.1484375,16.11328125,81.8359375,97.8515625
Arkansas,2016,988,2.125506073,15.89068826,81.98380567,97.87449393
Arkansas,2017,987,2.127659574,15.40020263,82.47213779,97.87234043
California,2013,"15,611",2.318877714,16.44353341,81.24399462,97.68112229
California,2014,"16,204",2.2833868180000003,15.90348062,81.81313256,97.71661318
California,2015,"16,688",2.001438159,15.18456376,82.81399808,97.99856184
California,2016,"16,226",1.7009737459999998,14.66781708,83.63120917,98.3051892
California,2017,"16,575",1.641025641,13.99698341,84.36802413,98.35897436
Colorado,2013,"2,623",2.020587114,14.75409836,83.22531453,98.01753717
Colorado,2014,"2,698",2.149740549,14.38102298,83.43217198,97.85025945
Colorado,2015,"2,651",1.9615239530000002,14.97548095,83.0629951,98.03847605
Colorado,2016,"2,628",1.6362252659999998,14.45966514,83.90410959,98.40182648
Colorado,2017,"2,764",1.519536903,13.42257598,85.05788712,98.4804631
Connecticut,2013,"1,846",2.2210184180000003,13.54279523,84.23618635,97.77898158
Connecticut,2014,"1,828",2.024070022,13.676148800000002,84.29978118,97.97592998
