"Table 1. Illicit Drug Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"29,519","28,818","30,236","1,962","1,872","2,056","8,156","7,940","8,378","19,400","18,784","20,035","27,557","26,865","28,265"
2,Northeast,"5,536","5,289","5,796",329,301,359,"1,634","1,553","1,718","3,574","3,338","3,825","5,208","4,966","5,461"
3,Midwest,"5,868","5,630","6,113",416,388,446,"1,693","1,611","1,777","3,759","3,532","3,999","5,452","5,220","5,692"
4,South,"9,325","8,965","9,698",698,653,745,"2,656","2,541","2,775","5,971","5,615","6,347","8,627","8,274","8,994"
5,West,"8,790","8,426","9,167",520,480,564,"2,174","2,061","2,291","6,097","5,753","6,457","8,270","7,912","8,641"
6,Alabama,353,300,414,27,22,34,99,82,117,227,183,282,326,275,385
7,Alaska,98,87,111,6,5,8,21,18,24,71,60,83,92,81,105
8,Arizona,624,532,728,43,34,54,159,132,190,422,342,517,581,492,683
9,Arkansas,260,223,302,18,14,22,59,48,70,184,151,223,242,206,283
10,California,"4,309","4,027","4,606",249,218,283,"1,137","1,049","1,230","2,923","2,667","3,199","4,060","3,783","4,352"
11,Colorado,829,735,931,42,34,52,201,175,228,586,502,680,787,695,887
12,Connecticut,377,329,432,27,21,33,127,111,145,224,182,274,351,304,404
13,Delaware,95,82,109,7,5,8,25,21,29,63,52,77,88,75,102
14,District of Columbia,117,104,131,3,3,4,33,29,38,80,68,93,113,101,127
15,Florida,"1,836","1,685","2,001",126,110,144,476,434,522,"1,234","1,095","1,388","1,710","1,563","1,872"
16,Georgia,711,624,810,57,46,69,224,195,256,431,357,519,655,571,750
17,Hawaii,111,94,132,7,6,9,25,21,29,79,64,98,104,87,124
