"Table 4. Perceptions of Great Risk from Smoking Marijuana Once a Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2016 and 2017 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"72,913","71,722","74,028","6,418","6,263","6,575","4,440","4,272","4,613","62,056","60,964","63,156","66,496","65,325","67,586"
2,Northeast,"12,153","11,721","12,579","1,034",986,"1,083",711,658,767,"10,408","10,008","10,817","11,119","10,697","11,535"
3,Midwest,"13,543","13,110","13,968","1,316","1,264","1,369",811,756,869,"11,417","11,024","11,818","12,228","11,807","12,640"
4,South,"31,106","30,422","31,765","2,709","2,618","2,801","1,935","1,838","2,037","26,462","25,851","27,080","28,397","27,731","29,038"
5,West,"16,112","15,586","16,627","1,359","1,293","1,428",983,910,"1,062","13,769","13,287","14,261","14,752","14,237","15,256"
6,Alabama,"1,245","1,140","1,354",119,105,134,81,67,96,"1,045",949,"1,147","1,126","1,026","1,231"
7,Alaska,103,91,115,11,9,13,9,7,11,83,72,95,92,80,104
8,Arizona,"1,616","1,467","1,773",146,128,167,107,88,128,"1,364","1,226","1,509","1,470","1,327","1,620"
9,Arkansas,733,673,796,67,59,75,45,38,54,621,566,680,667,609,727
10,California,"9,150","8,749","9,552",702,649,759,534,477,597,"7,913","7,535","8,302","8,448","8,054","8,842"
11,Colorado,769,675,871,69,57,83,43,34,56,656,571,752,700,611,797
