"Table 5. First Use of Marijuana, by Age Group and State: Average Annual Number of Marijuana Initiates (Expressed as Numbers in Thousands of the At-Risk Population), Based on 2016 and 2017 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: First use of marijuana (or the average annual number of marijuana initiates) = X1  ÷ 2, where X1 is the number of marijuana initiates in the past 24 months. For details, see Section B of the “2016-2017 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology” at https://www.samhsa.gov/data/.",,,,,,,,,,,,,,,,
"NOTE: The state and census region Bayesian confidence (credible) intervals presented here use a simultaneous solution for the First Use of Marijuana and Never Used Marijuana outcomes, which had age group-specific random effects that were allowed to be correlated across the two outcomes. The associated Markov Chain Monte Carlo chains were used to calculate the posterior variance. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"3,105","2,988","3,227","1,167","1,121","1,215","1,425","1,353","1,501",513,451,582,"1,938","1,833","2,049"
2,Northeast,556,518,596,195,181,211,263,241,287,98,79,121,361,328,397
3,Midwest,692,652,734,264,247,283,327,303,353,100,82,122,428,394,464
4,South,"1,041",983,"1,101",416,390,444,467,432,503,158,131,190,624,575,677
5,West,817,760,878,291,268,317,368,336,403,157,125,197,525,475,582
6,Alabama,41,34,49,14,11,18,20,15,25,7,4,11,27,21,34
7,Alaska,8,7,9,3,3,4,3,2,4,2,1,3,5,4,6
8,Arizona,62,51,76,22,17,27,27,21,35,13,8,22,40,31,53
9,Arkansas,23,19,28,10,8,12,10,8,13,3,2,6,13,10,17
10,California,401,362,445,150,132,171,187,162,215,64,46,89,251,217,289
11,Colorado,78,65,94,26,21,31,36,29,45,16,10,26,53,42,67
12,Connecticut,40,33,47,15,12,18,17,14,22,8,5,12,25,20,31
13,Delaware,9,8,11,4,3,4,4,3,5,1,1,2,5,4,7
14,District of Columbia,9,7,11,2,1,2,5,4,6,2,1,4,7,5,9
15,Florida,179,160,199,72,63,82,77,66,90,30,21,42,107,91,125
16,Georgia,91,78,106,36,30,44,40,33,49,14,9,23,55,44,67
17,Hawaii,12,10,14,4,3,5,5,4,7,2,1,3,7,6,9
18,Idaho,16,13,19,7,5,8,7,6,9,2,1,4,9,7,12
19,Illinois,124,109,142,50,43,59,58,48,69,16,10,25,74,61,89
20,Indiana,71,60,84,28,23,35,33,26,41,10,6,16,43,34,53
21,Iowa,31,26,37,10,8,13,16,13,20,5,3,7,21,16,26
