"Table 7. Cocaine Use in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2016 and 2017 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"5,507","5,233","5,795",131,110,157,"2,023","1,899","2,155","3,353","3,118","3,604","5,376","5,103","5,663"
2,Northeast,"1,124","1,019","1,240",22,17,27,403,360,451,699,610,801,"1,102",998,"1,218"
3,Midwest,"1,005",917,"1,101",27,21,34,383,343,428,595,521,679,978,891,"1,073"
4,South,"1,782","1,650","1,925",40,31,52,639,579,704,"1,104",987,"1,234","1,742","1,611","1,884"
5,West,"1,596","1,453","1,752",42,32,56,599,535,669,955,834,"1,093","1,554","1,413","1,708"
6,Alabama,66,49,90,1,1,2,20,14,28,45,31,65,65,47,88
7,Alaska,14,10,18,0,0,1,4,3,6,9,6,12,13,10,17
8,Arizona,122,91,164,4,2,6,44,31,60,75,52,109,119,88,160
9,Arkansas,37,27,51,1,1,2,12,8,17,24,16,35,35,26,49
10,California,889,779,"1,014",21,14,30,345,294,405,523,433,631,868,759,992
11,Colorado,125,96,161,3,2,5,49,37,64,72,51,102,121,93,157
12,Connecticut,84,64,110,2,1,3,33,25,43,50,35,71,82,63,108
13,Delaware,16,12,22,0,0,0,6,4,8,10,7,15,16,12,22
14,District of Columbia,25,20,33,0,0,0,6,5,9,19,14,26,25,20,33
15,Florida,346,291,413,6,4,9,122,101,147,218,173,274,340,285,406
16,Georgia,148,115,191,3,2,5,49,37,65,96,69,133,145,112,188
17,Hawaii,22,16,30,1,0,1,7,5,9,14,10,21,21,15,29
18,Idaho,19,14,26,1,1,2,8,5,11,10,7,16,18,13,25
19,Illinois,208,169,256,5,3,7,79,63,99,124,94,163,203,165,250
20,Indiana,105,80,138,3,2,5,42,31,58,60,41,86,102,77,135
21,Iowa,38,27,51,1,1,2,16,11,23,20,13,30,36,26,49
22,Kansas,38,28,51,1,1,2,16,11,22,20,14,30,36,27,49
23,Kentucky,59,43,80,2,1,3,22,16,31,35,23,52,57,41,78
24,Louisiana,55,39,76,1,1,2,18,13,26,36,24,53,54,38,75
25,Maine,21,16,29,1,0,1,8,6,11,13,9,18,21,16,28
26,Maryland,107,81,140,2,1,3,38,28,51,67,48,94,105,80,138
27,Massachusetts,179,140,230,3,2,5,74,56,97,102,74,141,176,137,226
28,Michigan,143,116,176,3,2,5,52,41,66,87,66,116,140,113,173
29,Minnesota,79,60,104,2,2,4,28,20,38,49,34,69,76,57,102
30,Mississippi,32,22,45,1,0,1,9,6,14,22,14,33,31,22,44
31,Missouri,81,60,109,2,1,4,29,20,40,50,35,72,79,58,106
32,Montana,17,13,22,1,0,1,6,5,9,10,7,14,16,12,21
33,Nebraska,26,20,35,1,1,1,12,9,16,13,9,20,25,19,34
34,Nevada,58,43,77,1,1,2,17,12,23,40,28,56,56,42,75
35,New Hampshire,25,20,33,1,1,1,13,10,16,12,8,17,25,19,32
36,New Jersey,142,110,181,3,2,5,58,44,76,80,58,112,138,107,178
37,New Mexico,35,26,46,1,1,2,12,9,17,21,15,31,34,25,45
