"Table 8. Perceptions of Great Risk from Using Cocaine Once a Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2016 and 2017 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"193,711","192,664","194,817","13,957","13,775","14,138","22,008","21,756","22,258","157,746","156,729","158,749","179,754","178,693","180,771"
2,Northeast,"33,037","32,649","33,430","2,278","2,224","2,331","3,616","3,525","3,706","27,143","26,769","27,509","30,759","30,369","31,135"
3,Midwest,"40,605","40,247","40,973","2,906","2,846","2,966","4,655","4,558","4,751","33,044","32,697","33,383","37,699","37,338","38,048"
4,South,"76,864","76,340","77,405","5,522","5,425","5,618","8,768","8,610","8,922","62,574","62,060","63,077","71,342","70,810","71,852"
5,West,"43,205","42,708","43,713","3,250","3,172","3,328","4,970","4,835","5,102","34,985","34,506","35,456","39,954","39,454","40,440"
6,Alabama,"3,121","3,035","3,203",221,206,235,368,350,384,"2,533","2,454","2,605","2,901","2,816","2,978"
7,Alaska,388,373,402,31,29,33,46,43,49,310,297,323,357,342,370
8,Arizona,"4,131","3,987","4,270",320,300,340,487,457,516,"3,323","3,189","3,449","3,811","3,668","3,944"
9,Arkansas,"1,913","1,862","1,961",135,126,144,226,214,237,"1,552","1,506","1,595","1,778","1,728","1,824"
10,California,"22,180","21,773","22,589","1,668","1,601","1,733","2,588","2,484","2,691","17,924","17,540","18,297","20,512","20,109","20,903"
11,Colorado,"3,009","2,892","3,124",222,206,238,331,306,356,"2,455","2,346","2,559","2,787","2,671","2,898"
12,Connecticut,"2,071","1,994","2,146",151,141,162,219,203,235,"1,700","1,628","1,768","1,920","1,843","1,992"
13,Delaware,576,557,594,39,36,42,64,60,67,473,455,490,537,518,554
14,District of Columbia,352,336,369,18,16,19,48,44,52,287,271,302,335,318,351
15,Florida,"13,551","13,318","13,777",819,787,851,"1,321","1,272","1,368","11,411","11,187","11,623","12,732","12,499","12,950"
16,Georgia,"6,624","6,475","6,767",530,501,557,784,750,817,"5,310","5,176","5,434","6,094","5,950","6,229"
17,Hawaii,785,754,814,51,48,55,83,77,88,651,621,678,733,703,762
18,Idaho,990,957,"1,020",84,78,89,115,108,122,791,762,818,906,875,935
19,Illinois,"7,596","7,428","7,762",555,527,582,853,815,890,"6,188","6,031","6,339","7,042","6,876","7,200"
20,Indiana,"4,046","3,927","4,162",299,279,320,485,457,513,"3,262","3,154","3,362","3,747","3,631","3,856"
21,Iowa,"1,843","1,784","1,902",133,124,142,221,207,235,"1,489","1,434","1,541","1,710","1,651","1,766"
22,Kansas,"1,703","1,650","1,755",132,124,141,215,202,226,"1,356","1,308","1,402","1,571","1,519","1,620"
23,Kentucky,"2,786","2,704","2,864",199,186,211,315,297,332,"2,273","2,198","2,342","2,588","2,508","2,662"
24,Louisiana,"2,833","2,749","2,913",201,188,214,334,315,353,"2,298","2,222","2,368","2,632","2,550","2,708"
25,Maine,812,783,840,51,48,55,74,69,79,687,659,712,761,732,788
26,Maryland,"3,602","3,491","3,709",257,240,274,381,359,403,"2,963","2,859","3,060","3,344","3,236","3,447"
27,Massachusetts,"3,739","3,586","3,889",264,246,283,426,394,458,"3,049","2,907","3,185","3,475","3,324","3,620"
28,Michigan,"6,150","6,020","6,278",413,392,434,710,681,739,"5,026","4,904","5,142","5,736","5,608","5,858"
29,Minnesota,"3,066","2,958","3,173",225,209,241,340,316,363,"2,501","2,401","2,597","2,841","2,734","2,944"
30,Mississippi,"1,945","1,899","1,989",142,133,151,239,227,250,"1,564","1,523","1,602","1,803","1,758","1,844"
31,Missouri,"3,710","3,601","3,815",264,246,281,412,387,436,"3,035","2,934","3,128","3,446","3,339","3,546"
32,Montana,600,580,620,40,38,43,65,61,69,495,476,513,560,540,579
33,Nebraska,"1,107","1,071","1,142",83,77,88,128,119,137,896,863,926,"1,024",989,"1,058"
34,Nevada,"1,732","1,671","1,790",119,110,128,179,167,190,"1,434","1,377","1,487","1,613","1,553","1,669"
35,New Hampshire,776,748,804,52,49,56,75,69,81,649,622,674,724,696,751
36,New Jersey,"5,442","5,279","5,599",408,384,431,552,519,583,"4,482","4,332","4,623","5,034","4,875","5,184"
37,New Mexico,"1,199","1,156","1,241",88,82,94,137,128,146,974,934,"1,011","1,111","1,069","1,151"
38,New York,"11,568","11,310","11,823",785,752,818,"1,338","1,283","1,392","9,444","9,198","9,681","10,783","10,525","11,030"
39,North Carolina,"6,330","6,177","6,478",438,411,464,719,684,752,"5,174","5,032","5,306","5,893","5,742","6,034"
40,North Dakota,439,426,453,29,27,31,60,56,63,351,339,362,410,397,423
41,Ohio,"7,072","6,922","7,220",511,488,534,789,757,820,"5,772","5,631","5,907","6,561","6,413","6,702"
42,Oklahoma,"2,323","2,244","2,398",185,172,196,294,277,310,"1,844","1,772","1,911","2,138","2,061","2,210"
