"Table 12. Pain Reliever Misuse in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"11,297","10,910","11,697",824,768,883,"2,457","2,333","2,588","8,016","7,666","8,380","10,473","10,091","10,869"
2,Northeast,"1,808","1,674","1,951",107,92,125,399,363,438,"1,301","1,181","1,434","1,700","1,571","1,840"
3,Midwest,"2,421","2,288","2,560",180,162,199,546,508,588,"1,695","1,573","1,826","2,241","2,111","2,378"
4,South,"4,198","3,986","4,421",325,295,358,917,859,978,"2,956","2,762","3,163","3,873","3,666","4,090"
5,West,"2,871","2,677","3,078",212,186,242,595,543,652,"2,064","1,885","2,258","2,659","2,470","2,861"
6,Alabama,184,155,219,16,12,21,42,34,51,127,101,158,168,141,201
7,Alaska,28,24,34,2,2,3,6,5,8,20,16,25,26,22,31
8,Arizona,247,203,300,19,14,26,56,45,69,173,134,222,228,186,280
9,Arkansas,125,104,149,10,7,13,24,19,29,91,73,114,115,95,138
10,California,"1,413","1,268","1,574",109,90,133,293,252,340,"1,011",880,"1,161","1,304","1,163","1,461"
11,Colorado,227,189,271,16,12,22,50,40,61,161,127,202,210,174,253
12,Connecticut,129,107,155,9,7,12,29,23,36,91,71,116,120,99,146
13,Delaware,34,28,41,2,1,3,7,5,8,26,20,32,32,26,39
14,District of Columbia,26,21,31,1,1,2,6,5,8,18,14,23,24,20,30
15,Florida,741,648,847,49,40,60,129,110,151,564,476,666,693,601,797
16,Georgia,308,258,367,24,17,33,72,58,89,213,169,268,284,236,342
17,Hawaii,39,31,47,3,2,4,8,6,10,28,21,36,36,29,45
