"Table 13. Alcohol Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2016 and 2017 NSDUHs ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"138,664","137,404","139,918","2,377","2,272","2,486","19,542","19,253","19,829","116,745","115,557","117,925","136,287","135,048","137,519"
2,Northeast,"27,062","26,624","27,498",434,403,468,"3,810","3,700","3,919","22,817","22,406","23,225","26,628","26,192","27,061"
3,Midwest,"30,919","30,459","31,377",536,503,571,"4,463","4,343","4,580","25,920","25,491","26,348","30,383","29,925","30,837"
4,South,"48,026","47,348","48,704",865,815,918,"6,768","6,567","6,968","40,392","39,767","41,016","47,160","46,485","47,834"
5,West,"32,657","32,122","33,188",541,502,582,"4,501","4,354","4,647","27,615","27,118","28,106","32,116","31,582","32,643"
6,Alabama,"1,709","1,602","1,817",33,27,41,259,238,279,"1,417","1,315","1,520","1,675","1,569","1,783"
7,Alaska,302,286,318,6,5,7,42,39,45,254,239,269,296,280,312
8,Arizona,"2,917","2,743","3,091",46,37,56,393,362,425,"2,478","2,313","2,641","2,872","2,697","3,043"
9,Arkansas,987,920,"1,057",21,17,26,152,139,165,814,750,880,966,899,"1,035"
10,California,"16,575","16,161","16,986",272,240,307,"2,320","2,213","2,425","13,984","13,591","14,374","16,303","15,892","16,711"
11,Colorado,"2,764","2,638","2,887",42,34,51,371,347,394,"2,351","2,231","2,467","2,722","2,597","2,843"
12,Connecticut,"1,843","1,751","1,933",32,26,38,261,245,276,"1,551","1,462","1,635","1,812","1,720","1,900"
13,Delaware,415,391,438,6,5,7,52,48,56,357,334,379,409,385,432
14,District of Columbia,391,375,407,3,2,3,63,59,67,326,310,340,389,373,404
15,Florida,"9,182","8,887","9,479",140,123,159,"1,106","1,053","1,158","7,936","7,650","8,220","9,042","8,749","9,336"
16,Georgia,"3,817","3,619","4,017",67,56,80,561,523,599,"3,189","3,002","3,377","3,750","3,552","3,948"
17,Hawaii,523,489,558,8,6,10,71,65,76,444,411,477,515,481,550
18,Idaho,646,608,684,14,11,17,88,80,95,544,509,580,632,594,669
19,Illinois,"5,842","5,650","6,032",104,90,120,807,766,847,"4,930","4,746","5,111","5,738","5,547","5,926"
20,Indiana,"2,755","2,602","2,907",50,41,60,444,414,473,"2,261","2,118","2,403","2,705","2,553","2,855"
21,Iowa,"1,527","1,455","1,597",24,19,29,233,220,246,"1,270","1,201","1,336","1,503","1,431","1,573"
22,Kansas,"1,358","1,295","1,419",24,20,29,193,181,205,"1,140","1,080","1,198","1,333","1,271","1,393"
23,Kentucky,"1,470","1,371","1,571",35,29,42,231,212,250,"1,204","1,110","1,300","1,435","1,337","1,534"
24,Louisiana,"1,922","1,819","2,024",37,31,45,267,247,286,"1,618","1,520","1,714","1,884","1,782","1,986"
25,Maine,649,614,685,10,8,12,80,75,84,559,525,593,639,604,674
26,Maryland,"2,689","2,553","2,825",43,35,53,360,336,383,"2,287","2,154","2,416","2,646","2,510","2,781"
27,Massachusetts,"3,605","3,436","3,769",62,51,75,559,528,587,"2,985","2,824","3,139","3,544","3,375","3,705"
28,Michigan,"4,482","4,327","4,636",83,73,95,648,618,678,"3,750","3,602","3,897","4,399","4,245","4,551"
29,Minnesota,"2,683","2,554","2,809",42,35,51,376,353,398,"2,264","2,142","2,383","2,640","2,512","2,765"
30,Mississippi,935,868,"1,005",19,15,23,144,130,158,773,710,838,917,850,985
31,Missouri,"2,587","2,449","2,725",51,42,61,360,333,386,"2,177","2,046","2,306","2,537","2,399","2,673"
32,Montana,505,482,529,10,8,11,71,67,75,425,402,447,496,472,519
33,Nebraska,913,869,955,16,13,19,134,126,143,763,721,802,897,853,939
34,Nevada,"1,195","1,121","1,269",22,18,27,142,130,155,"1,030",960,"1,101","1,173","1,099","1,247"
35,New Hampshire,731,700,761,11,9,13,99,93,104,622,592,650,720,690,750
36,New Jersey,"4,029","3,846","4,210",75,63,89,534,500,566,"3,420","3,244","3,593","3,953","3,772","4,133"
37,New Mexico,845,796,894,17,14,21,118,108,127,710,664,756,828,780,876
38,New York,"9,197","8,917","9,474",138,120,159,"1,338","1,280","1,395","7,720","7,455","7,982","9,058","8,781","9,332"
39,North Carolina,"3,772","3,582","3,964",70,58,83,519,483,556,"3,183","3,002","3,365","3,702","3,514","3,892"
40,North Dakota,368,351,384,6,5,7,66,62,69,296,281,311,362,345,378
41,Ohio,"4,984","4,803","5,164",82,71,95,713,679,746,"4,189","4,014","4,362","4,901","4,721","5,080"
42,Oklahoma,"1,435","1,348","1,523",28,23,35,223,205,240,"1,184","1,101","1,268","1,407","1,320","1,494"
43,Oregon,"2,048","1,955","2,140",31,25,37,262,246,278,"1,755","1,666","1,841","2,017","1,924","2,107"
44,Pennsylvania,"6,124","5,934","6,312",93,80,107,801,761,840,"5,230","5,048","5,408","6,031","5,842","6,217"
45,Rhode Island,546,521,571,8,7,10,86,81,91,452,427,475,538,513,563
46,South Carolina,"1,888","1,774","2,004",32,26,39,272,252,292,"1,584","1,474","1,694","1,856","1,742","1,971"
47,South Dakota,418,399,437,8,6,9,60,56,63,351,333,369,411,391,430
48,Tennessee,"2,440","2,296","2,587",46,38,56,351,322,380,"2,044","1,906","2,183","2,395","2,250","2,540"
49,Texas,"10,698","10,379","11,017",213,186,244,"1,594","1,512","1,677","8,891","8,590","9,190","10,485","10,167","10,799"
50,Utah,711,652,772,17,13,24,142,124,160,552,499,607,693,635,753
51,Vermont,337,321,352,6,5,7,53,50,56,279,264,293,331,316,346
52,Virginia,"3,658","3,504","3,813",60,51,71,517,487,545,"3,081","2,933","3,228","3,598","3,443","3,751"
