"Table 15. Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2016 and 2017 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"120,507","119,368","121,634","10,921","10,745","11,098","12,925","12,696","13,155","96,661","95,575","97,748","109,586","108,461","110,696"
2,Northeast,"20,642","20,209","21,074","1,788","1,733","1,844","2,084","2,009","2,160","16,770","16,363","17,178","18,853","18,430","19,275"
3,Midwest,"22,916","22,478","23,353","2,151","2,090","2,212","2,430","2,352","2,509","18,335","17,923","18,749","20,765","20,335","21,193"
4,South,"47,218","46,559","47,875","4,375","4,276","4,475","5,178","5,051","5,305","37,665","37,044","38,288","42,843","42,198","43,484"
5,West,"29,732","29,189","30,271","2,607","2,529","2,684","3,234","3,124","3,344","23,891","23,388","24,394","27,125","26,593","27,652"
6,Alabama,"1,775","1,669","1,883",160,146,175,196,178,215,"1,419","1,320","1,519","1,615","1,512","1,719"
7,Alaska,251,236,266,23,21,25,25,23,28,202,189,216,228,213,242
8,Arizona,"2,665","2,507","2,824",246,226,267,298,269,329,"2,120","1,974","2,267","2,418","2,265","2,573"
9,Arkansas,"1,068","1,005","1,131",104,95,113,112,100,124,852,794,911,963,903,"1,025"
10,California,"16,139","15,706","16,570","1,383","1,319","1,447","1,777","1,686","1,870","12,978","12,575","13,382","14,756","14,331","15,178"
11,Colorado,"2,002","1,885","2,120",171,155,188,201,180,224,"1,629","1,522","1,737","1,830","1,718","1,945"
12,Connecticut,"1,331","1,245","1,418",119,109,130,127,113,142,"1,085","1,006","1,165","1,212","1,129","1,296"
13,Delaware,350,328,372,31,28,34,37,33,41,282,262,303,319,298,340
14,District of Columbia,246,230,261,15,13,16,30,27,33,201,187,216,231,216,247
15,Florida,"8,192","7,899","8,486",628,594,662,793,747,841,"6,770","6,489","7,053","7,564","7,276","7,852"
16,Georgia,"4,204","4,022","4,386",457,426,488,478,442,515,"3,268","3,099","3,438","3,747","3,570","3,923"
17,Hawaii,544,511,577,44,40,48,53,48,58,446,416,477,499,467,531
18,Idaho,593,557,629,63,58,69,64,57,71,465,433,499,529,495,564
19,Illinois,"4,607","4,417","4,798",434,407,461,483,447,520,"3,691","3,510","3,873","4,173","3,987","4,361"
20,Indiana,"2,342","2,203","2,482",222,201,243,260,233,288,"1,860","1,734","1,988","2,120","1,986","2,255"
21,Iowa,921,856,988,90,81,100,108,96,120,723,663,786,831,768,896
22,Kansas,899,840,960,90,81,99,101,90,112,709,654,765,809,752,868
23,Kentucky,"1,613","1,519","1,707",145,133,158,168,152,185,"1,300","1,212","1,388","1,467","1,377","1,559"
24,Louisiana,"1,687","1,589","1,786",164,150,177,192,174,211,"1,331","1,241","1,421","1,523","1,429","1,619"
25,Maine,467,434,500,34,31,38,36,32,41,396,365,428,433,401,465
26,Maryland,"2,331","2,199","2,463",206,189,224,243,221,266,"1,881","1,758","2,005","2,124","1,996","2,253"
27,Massachusetts,"2,337","2,178","2,498",203,185,222,246,217,277,"1,888","1,741","2,037","2,133","1,979","2,291"
28,Michigan,"3,354","3,210","3,499",314,294,334,373,348,400,"2,666","2,530","2,804","3,040","2,899","3,182"
29,Minnesota,"1,755","1,639","1,874",170,154,185,173,154,194,"1,412","1,305","1,521","1,585","1,473","1,700"
30,Mississippi,"1,172","1,108","1,237",115,106,124,142,129,155,915,857,974,"1,057",995,"1,120"
