"Table 18. Cigarette Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"50,013","49,031","51,009",821,762,884,"7,887","7,664","8,114","41,305","40,389","42,236","49,192","48,217","50,181"
2,Northeast,"8,408","8,074","8,755",120,106,135,"1,348","1,275","1,425","6,940","6,614","7,278","8,288","7,956","8,632"
3,Midwest,"11,726","11,373","12,085",215,195,236,"1,838","1,758","1,920","9,673","9,330","10,026","11,511","11,162","11,867"
4,South,"20,158","19,622","20,708",329,301,360,"3,039","2,918","3,163","16,790","16,256","17,338","19,829","19,298","20,373"
5,West,"9,720","9,350","10,102",157,138,178,"1,662","1,564","1,764","7,902","7,538","8,279","9,563","9,195","9,943"
6,Alabama,955,872,"1,044",18,14,23,132,115,150,805,725,890,937,854,"1,025"
7,Alaska,115,104,127,4,3,4,21,18,24,91,81,102,112,101,123
8,Arizona,979,871,"1,098",13,10,17,164,138,193,803,703,913,966,859,"1,084"
9,Arkansas,610,555,669,12,9,15,87,75,99,512,460,568,599,544,657
10,California,"4,383","4,107","4,674",63,51,79,737,661,819,"3,584","3,318","3,867","4,320","4,045","4,609"
11,Colorado,735,655,823,14,10,18,151,130,175,571,498,652,722,642,809
12,Connecticut,516,458,578,7,5,9,92,79,107,416,363,476,509,452,571
13,Delaware,148,133,165,2,1,2,21,18,24,126,111,142,146,131,163
14,District of Columbia,110,98,122,1,0,1,20,17,24,89,78,101,109,97,122
15,Florida,"2,956","2,748","3,178",39,32,48,374,335,416,"2,543","2,341","2,758","2,917","2,710","3,138"
16,Georgia,"1,611","1,475","1,756",30,23,38,258,227,291,"1,324","1,196","1,462","1,582","1,447","1,725"
17,Hawaii,158,139,178,3,2,3,29,25,35,126,109,145,155,137,176
18,Idaho,253,228,281,7,5,8,48,42,55,199,176,224,247,222,274
19,Illinois,"1,948","1,807","2,099",31,25,39,319,288,352,"1,598","1,463","1,743","1,917","1,776","2,066"
20,Indiana,"1,180","1,064","1,304",25,19,32,180,155,207,975,866,"1,094","1,155","1,040","1,279"
21,Iowa,548,495,604,9,7,12,103,90,117,436,388,489,539,487,595
22,Kansas,467,421,517,8,6,11,78,67,89,382,339,428,459,413,508
