"Table 20. Illicit Drug Use Disorder in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2016 and 2017 NSDUHs",,,,,,,,,,,,,,,,
NOTE: Illicit Drug Use Disorder is defined as meeting criteria for illicit drug dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"7,463","7,174","7,763",765,710,825,"2,470","2,342","2,605","4,228","3,982","4,488","6,698","6,415","6,993"
2,Northeast,"1,336","1,230","1,452",116,102,131,462,423,505,758,669,858,"1,220","1,117","1,333"
3,Midwest,"1,491","1,382","1,608",152,136,171,486,446,530,853,762,953,"1,339","1,234","1,451"
4,South,"2,672","2,508","2,846",275,250,303,895,834,960,"1,502","1,365","1,652","2,397","2,239","2,565"
5,West,"1,964","1,810","2,130",222,195,252,627,569,690,"1,115",985,"1,262","1,742","1,594","1,903"
6,Alabama,116,93,145,10,8,14,37,29,48,69,51,93,106,84,134
7,Alaska,22,17,27,3,2,4,6,5,8,13,10,17,19,15,24
8,Arizona,161,129,202,19,15,26,53,40,69,89,65,122,142,111,180
9,Arkansas,69,55,87,7,6,10,19,14,25,43,31,58,62,48,79
10,California,975,859,"1,106",113,93,137,314,269,367,547,453,660,862,751,988
11,Colorado,160,129,196,17,12,22,57,45,73,86,64,115,143,115,178
12,Connecticut,106,86,131,10,7,13,40,31,50,57,42,78,97,77,121
13,Delaware,27,22,34,2,2,3,8,6,10,17,12,23,25,19,31
14,District of Columbia,23,18,29,1,1,2,8,6,10,14,11,19,22,17,27
15,Florida,481,416,556,51,42,62,141,119,166,288,234,355,429,367,502
16,Georgia,204,166,250,21,16,28,67,52,85,116,87,155,183,147,227
17,Hawaii,27,21,34,3,2,4,8,6,11,16,11,22,24,18,31
18,Idaho,36,29,46,5,3,6,11,8,14,21,16,29,32,25,41
19,Illinois,278,234,329,30,23,37,92,76,112,156,121,200,248,206,298
20,Indiana,137,109,172,14,10,18,46,35,60,77,56,106,123,97,157
21,Iowa,61,49,77,7,5,9,23,17,29,32,23,44,55,43,70
22,Kansas,55,42,70,6,4,8,18,14,24,31,21,43,49,37,64
