"Table 23. Substance Use Disorder in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2016 and 2017 NSDUHs",,,,,,,,,,,,,,,,
NOTE: Substance Use Disorder is defined as meeting criteria for illicit drug or alcohol dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"19,906","19,372","20,454","1,028",964,"1,096","5,156","4,979","5,339","13,722","13,234","14,227","18,878","18,348","19,423"
2,Northeast,"3,656","3,458","3,865",157,140,175,985,923,"1,050","2,514","2,331","2,710","3,499","3,304","3,705"
3,Midwest,"4,342","4,137","4,556",217,198,239,"1,126","1,061","1,193","2,999","2,810","3,199","4,125","3,924","4,333"
4,South,"6,900","6,590","7,224",365,333,401,"1,788","1,690","1,891","4,747","4,456","5,054","6,535","6,232","6,852"
5,West,"5,008","4,750","5,279",289,258,323,"1,257","1,174","1,345","3,462","3,227","3,714","4,720","4,465","4,987"
6,Alabama,268,225,319,15,11,20,62,51,76,191,154,237,253,211,303
7,Alaska,53,45,61,4,3,5,13,11,15,36,30,44,49,42,57
8,Arizona,431,365,508,26,20,34,119,99,143,285,230,353,405,341,480
9,Arkansas,183,155,214,10,8,13,43,35,52,130,106,158,173,146,204
10,California,"2,459","2,267","2,665",140,119,165,614,549,685,"1,705","1,532","1,895","2,319","2,129","2,523"
11,Colorado,407,353,468,24,18,31,115,97,135,268,223,322,383,331,443
12,Connecticut,257,221,299,13,10,17,71,60,84,173,141,211,244,209,286
13,Delaware,69,59,80,3,2,4,15,13,18,50,41,61,66,56,77
14,District of Columbia,66,57,75,2,1,2,17,15,21,47,39,55,64,55,74
15,Florida,"1,231","1,107","1,369",64,54,77,285,253,322,881,767,"1,011","1,166","1,044","1,303"
16,Georgia,512,439,595,27,21,36,128,108,152,356,293,431,484,413,566
17,Hawaii,78,66,93,4,3,5,20,16,24,55,44,68,75,63,89
18,Idaho,108,92,127,7,5,9,23,19,28,78,64,95,101,86,120
19,Illinois,855,766,953,47,38,58,217,190,246,591,513,680,808,721,904
20,Indiana,395,333,466,18,13,24,108,90,130,268,217,331,377,317,447
