"Table 26. Needing But Not Receiving Treatment at a Specialty Facility for Substance Use in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2016 and 2017 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing substance use treatment if they met the criteria for an illicit drug or alcohol use disorder as defined in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) or received treatment for illicit drug or alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Needing But Not Receiving Substance Use Treatment refers to respondents who are classified as needing illicit drug or alcohol treatment, but who did not receive illicit drug or alcohol treatment at a specialty facility. Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"18,453","17,936","18,984",969,907,"1,035","4,845","4,672","5,023","12,640","12,166","13,130","17,484","16,971","18,012"
2,Northeast,"3,327","3,138","3,527",149,133,166,908,850,969,"2,270","2,095","2,459","3,178","2,992","3,375"
3,Midwest,"3,974","3,785","4,172",204,185,224,"1,062","1,003","1,124","2,709","2,534","2,894","3,771","3,585","3,964"
4,South,"6,403","6,112","6,708",345,313,379,"1,693","1,605","1,785","4,365","4,093","4,655","6,058","5,774","6,356"
5,West,"4,749","4,489","5,023",272,244,303,"1,182","1,100","1,268","3,296","3,058","3,550","4,477","4,221","4,747"
6,Alabama,248,210,293,13,10,17,63,51,77,172,139,213,235,198,279
7,Alaska,50,42,58,3,2,4,11,9,13,36,29,43,46,40,54
8,Arizona,412,348,486,24,18,31,116,95,140,272,220,337,388,326,461
9,Arkansas,162,137,192,9,7,12,42,35,51,111,89,138,153,128,182
10,California,"2,346","2,150","2,557",136,115,160,574,512,643,"1,636","1,459","1,832","2,210","2,018","2,418"
11,Colorado,398,342,462,21,16,27,112,93,133,266,219,321,377,323,440
12,Connecticut,230,196,269,13,10,16,64,53,76,154,125,189,217,184,256
13,Delaware,62,53,73,3,2,4,14,11,17,45,37,56,59,50,70
14,District of Columbia,61,52,70,2,1,2,16,14,19,43,36,52,59,51,69
15,Florida,"1,178","1,059","1,311",63,52,74,273,242,307,842,733,967,"1,116",999,"1,246"
16,Georgia,488,418,568,25,19,33,122,102,146,341,282,411,463,395,541
17,Hawaii,73,61,87,4,3,5,19,15,23,51,40,63,69,57,83
18,Idaho,97,81,115,6,5,8,22,18,27,69,55,86,91,76,109
19,Illinois,799,711,896,44,36,54,202,176,232,552,476,640,755,670,850
20,Indiana,361,304,427,17,13,23,102,83,124,242,196,299,344,289,409
21,Iowa,213,182,248,10,7,13,60,51,72,143,116,175,203,173,238
22,Kansas,150,127,177,9,7,12,44,36,54,97,77,120,141,118,167
23,Kentucky,234,199,275,12,9,16,62,51,75,160,130,197,222,188,262
24,Louisiana,277,236,323,13,10,17,67,54,81,197,163,239,264,225,309
25,Maine,89,75,105,4,3,5,19,16,23,65,53,80,85,71,100
26,Maryland,343,292,403,15,11,20,92,77,109,237,192,290,328,278,387
27,Massachusetts,514,439,601,21,16,27,151,127,178,343,279,420,494,420,578
28,Michigan,584,522,653,28,23,34,144,126,165,412,357,474,556,495,623
29,Minnesota,276,233,328,16,12,21,79,64,95,182,145,227,260,218,310
30,Mississippi,140,118,167,8,6,11,39,31,48,93,75,116,132,110,158
31,Missouri,332,282,391,17,13,22,83,67,102,232,190,284,316,266,373
32,Montana,73,63,85,4,3,6,19,16,22,50,41,60,69,59,80
33,Nebraska,106,91,124,6,5,8,35,29,41,66,53,81,100,85,117
34,Nevada,190,161,224,12,9,16,47,39,57,131,106,161,178,150,211
35,New Hampshire,90,77,105,4,3,5,26,22,31,61,49,74,86,74,101
36,New Jersey,435,370,512,22,17,29,125,105,149,288,231,357,413,349,488
37,New Mexico,128,109,151,9,7,11,34,28,41,85,69,105,120,101,142
38,New York,"1,185","1,068","1,313",52,43,63,306,270,346,826,722,945,"1,132","1,018","1,258"
39,North Carolina,474,405,554,26,20,34,119,98,143,329,270,401,448,381,526
40,North Dakota,47,40,54,2,2,3,14,12,17,30,25,37,45,38,52
41,Ohio,687,611,771,34,27,42,179,158,203,474,406,552,653,579,736
42,Oklahoma,219,185,258,13,10,17,57,46,69,149,121,183,206,173,244
43,Oregon,311,266,362,15,12,19,69,58,82,227,187,274,296,252,346
44,Pennsylvania,664,588,750,27,22,34,180,158,206,456,388,535,637,562,721
45,Rhode Island,72,62,84,3,3,4,21,17,25,48,39,59,69,59,81
