"Table 6. Alcohol Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2014 and 2015 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2014 and 2015.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"139,003","137,763","140,234","2,632","2,525","2,743","20,591","20,308","20,871","115,780","114,624","116,925","136,371","135,151","137,580"
2,Northeast,"27,037","26,597","27,474",520,484,559,"3,936","3,851","4,020","22,581","22,159","22,999","26,517","26,078","26,952"
3,Midwest,"30,747","30,299","31,194",552,518,589,"4,592","4,503","4,680","25,602","25,180","26,022","30,194","29,750","30,636"
4,South,"48,617","47,922","49,311",920,869,974,"7,273","7,136","7,410","40,424","39,768","41,074","47,697","47,003","48,384"
5,West,"32,602","32,060","33,139",639,591,690,"4,789","4,672","4,905","27,174","26,663","27,679","31,963","31,423","32,498"
6,Alabama,"1,779","1,671","1,889",33,27,41,276,255,297,"1,470","1,366","1,574","1,745","1,637","1,854"
7,Alaska,319,305,334,7,5,8,52,49,55,261,247,275,313,298,328
8,Arizona,"2,865","2,711","3,018",57,47,70,418,388,448,"2,390","2,245","2,532","2,808","2,655","2,958"
9,Arkansas,"1,024",957,"1,094",22,18,27,165,152,177,838,774,903,"1,002",935,"1,071"
10,California,"16,688","16,260","17,115",334,295,377,"2,534","2,436","2,630","13,820","13,416","14,221","16,354","15,928","16,777"
11,Colorado,"2,651","2,525","2,774",52,43,63,397,375,417,"2,202","2,082","2,317","2,599","2,474","2,719"
12,Connecticut,"1,844","1,756","1,930",39,31,47,259,243,275,"1,546","1,462","1,627","1,805","1,718","1,889"
13,Delaware,425,403,447,7,6,9,62,58,66,356,335,377,418,396,440
14,District of Columbia,393,379,407,4,3,5,70,66,73,320,307,332,389,375,403
15,Florida,"9,369","9,090","9,647",150,132,170,"1,168","1,122","1,213","8,051","7,779","8,320","9,219","8,940","9,495"
16,Georgia,"4,058","3,881","4,236",76,63,90,614,579,648,"3,369","3,199","3,538","3,983","3,806","4,159"
17,Hawaii,538,505,571,10,8,13,78,72,84,450,418,481,527,495,560
18,Idaho,595,559,632,15,12,18,83,76,90,498,463,532,581,545,616
19,Illinois,"5,826","5,640","6,010",101,87,117,840,804,876,"4,884","4,706","5,060","5,725","5,541","5,906"
