"Table 8. Tobacco Product Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2014 and 2015 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco, or ""snus""), cigars, or pipe tobacco.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2014 and 2015.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)2"
1,Total U.S.,"65,427","64,394","66,475","1,617","1,536","1,702","11,880","11,624","12,138","51,930","50,980","52,896","63,809","62,788","64,846"
2,Northeast,"11,119","10,744","11,505",257,235,283,"2,017","1,936","2,100","8,844","8,485","9,214","10,861","10,491","11,243"
3,Midwest,"15,493","15,092","15,901",412,383,443,"2,866","2,778","2,954","12,216","11,822","12,618","15,081","14,685","15,484"
4,South,"26,109","25,514","26,717",630,588,675,"4,575","4,445","4,707","20,903","20,307","21,515","25,478","24,891","26,079"
5,West,"12,706","12,268","13,152",317,287,350,"2,422","2,316","2,530","9,967","9,546","10,401","12,388","11,958","12,828"
6,Alabama,"1,233","1,138","1,333",30,23,37,224,205,244,979,891,"1,072","1,204","1,109","1,301"
7,Alaska,183,169,198,6,5,7,35,32,39,142,129,155,177,164,191
8,Arizona,"1,260","1,145","1,383",34,26,43,232,205,259,995,891,"1,106","1,226","1,113","1,346"
9,Arkansas,834,772,899,23,19,28,132,120,145,679,622,739,811,751,874
10,California,"5,809","5,490","6,140",131,110,156,"1,152","1,070","1,237","4,526","4,227","4,841","5,678","5,363","6,004"
11,Colorado,"1,116","1,016","1,222",29,23,37,214,192,237,873,782,970,"1,086",988,"1,190"
12,Connecticut,669,602,741,18,14,23,138,122,154,513,452,579,651,585,721
13,Delaware,208,190,228,5,4,6,37,33,41,166,149,185,203,185,223
14,District of Columbia,141,128,154,2,1,2,29,25,33,111,99,123,140,127,153
15,Florida,"3,869","3,644","4,105",72,61,86,590,550,633,"3,206","2,987","3,436","3,796","3,573","4,031"
16,Georgia,"2,160","2,009","2,317",52,42,64,393,360,426,"1,716","1,577","1,862","2,108","1,960","2,263"
17,Hawaii,222,199,246,5,4,6,40,35,45,177,156,200,217,194,241
18,Idaho,294,268,323,10,8,13,55,49,62,229,204,255,284,258,312
19,Illinois,"2,570","2,418","2,729",61,51,73,476,441,512,"2,034","1,892","2,183","2,510","2,360","2,666"
20,Indiana,"1,688","1,556","1,825",49,39,61,317,289,345,"1,322","1,202","1,449","1,639","1,509","1,774"
21,Iowa,699,641,759,22,18,28,133,120,147,543,491,599,676,620,736
22,Kansas,584,533,637,18,15,23,114,102,126,451,406,500,565,516,618
23,Kentucky,"1,262","1,166","1,361",35,28,44,211,192,230,"1,015",927,"1,107","1,226","1,132","1,323"
24,Louisiana,"1,183","1,090","1,280",29,23,36,205,186,224,949,864,"1,038","1,154","1,063","1,249"
25,Maine,282,255,310,8,6,10,48,43,53,226,201,252,274,248,302
26,Maryland,"1,190","1,075","1,313",28,21,35,213,189,237,950,845,"1,063","1,163","1,049","1,284"
27,Massachusetts,"1,203","1,084","1,332",29,23,38,253,224,284,921,815,"1,038","1,174","1,057","1,300"
28,Michigan,"2,279","2,153","2,410",60,50,71,422,394,451,"1,798","1,678","1,922","2,220","2,095","2,349"
29,Minnesota,"1,153","1,048","1,264",28,22,36,203,182,225,921,825,"1,024","1,124","1,021","1,234"
30,Mississippi,776,717,838,22,17,27,130,117,144,624,570,680,754,696,815
31,Missouri,"1,554","1,434","1,680",44,35,54,290,266,315,"1,220","1,109","1,337","1,511","1,392","1,634"
32,Montana,236,216,257,7,6,9,45,41,50,183,165,203,229,209,250
33,Nebraska,421,386,458,11,9,14,80,72,88,330,298,364,410,376,446
34,Nevada,590,536,648,15,12,20,94,83,106,480,430,534,575,521,632
35,New Hampshire,286,260,313,8,7,10,56,51,62,221,198,246,278,253,304
36,New Jersey,"1,563","1,429","1,706",37,30,46,277,251,304,"1,249","1,124","1,384","1,525","1,394","1,667"
37,New Mexico,414,376,455,10,8,13,81,72,90,324,289,361,404,367,444
38,New York,"3,880","3,661","4,109",81,68,97,657,607,709,"3,142","2,935","3,360","3,799","3,582","4,025"
39,North Carolina,"2,127","1,971","2,292",46,37,58,380,347,415,"1,701","1,556","1,854","2,081","1,927","2,243"
40,North Dakota,186,172,200,5,4,6,44,40,48,137,125,150,181,168,194
41,Ohio,"2,937","2,785","3,094",72,61,85,523,489,557,"2,342","2,197","2,492","2,865","2,714","3,020"
42,Oklahoma,"1,018",939,"1,102",32,25,40,184,167,202,802,730,878,987,909,"1,067"
43,Oregon,764,696,838,20,16,26,142,127,157,602,539,670,744,676,816
44,Pennsylvania,"2,876","2,708","3,051",68,57,80,512,478,547,"2,296","2,137","2,463","2,808","2,642","2,981"
45,Rhode Island,212,191,234,4,3,6,45,40,50,163,144,182,207,187,229
46,South Carolina,"1,151","1,061","1,245",26,20,33,211,191,231,914,832,"1,001","1,125","1,037","1,217"
47,South Dakota,195,179,211,6,5,7,39,35,42,150,136,165,188,173,205
48,Tennessee,"1,572","1,444","1,706",40,32,49,279,252,307,"1,252","1,135","1,376","1,532","1,406","1,664"
49,Texas,"5,070","4,806","5,342",136,114,161,952,885,"1,022","3,982","3,734","4,242","4,935","4,675","5,202"
50,Utah,358,316,404,11,7,15,74,62,88,273,237,314,348,307,392
51,Vermont,149,136,163,4,3,4,31,28,35,114,102,126,145,133,159
