"Table 9. Cigarette Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2014 and 2015 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2014 and 2015.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"53,594","52,601","54,605","1,126","1,057","1,199","9,617","9,374","9,865","42,851","41,931","43,789","52,468","51,485","53,469"
2,Northeast,"9,126","8,785","9,480",181,163,201,"1,649","1,567","1,734","7,296","6,960","7,644","8,945","8,608","9,295"
3,Midwest,"12,728","12,372","13,092",298,274,324,"2,272","2,181","2,365","10,159","9,807","10,519","12,431","12,079","12,789"
4,South,"21,307","20,762","21,867",425,391,462,"3,700","3,567","3,836","17,182","16,624","17,756","20,882","20,344","21,433"
5,West,"10,433","10,035","10,841",222,197,250,"1,996","1,887","2,110","8,214","7,822","8,623","10,210","9,818","10,614"
6,Alabama,982,892,"1,078",20,16,26,180,160,202,781,698,870,961,872,"1,056"
7,Alaska,143,130,157,4,3,5,29,26,33,110,98,123,140,127,153
8,Arizona,"1,076",968,"1,193",23,17,29,188,161,217,866,766,975,"1,054",947,"1,169"
9,Arkansas,681,627,739,15,12,19,103,91,116,563,512,618,666,613,723
10,California,"4,801","4,507","5,107",94,77,116,976,894,"1,064","3,730","3,451","4,027","4,706","4,416","5,010"
11,Colorado,882,796,976,20,16,26,174,153,196,688,608,775,862,777,954
12,Connecticut,537,479,599,13,10,17,117,102,134,407,355,464,524,467,586
