"Table 10. Alcohol Use Disorder in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2014 and 2015 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: Alcohol Use Disorder is defined as meeting criteria for alcohol dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2014 and 2015.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"16,365","15,874","16,871",651,598,708,"4,053","3,894","4,218","11,662","11,221","12,118","15,715","15,232","16,211"
2,Northeast,"3,047","2,870","3,235",113,98,129,755,703,811,"2,179","2,015","2,355","2,934","2,758","3,121"
3,Midwest,"3,536","3,359","3,723",135,119,153,924,873,977,"2,478","2,316","2,650","3,401","3,225","3,587"
4,South,"5,728","5,453","6,014",238,213,266,"1,374","1,299","1,452","4,116","3,862","4,385","5,490","5,218","5,774"
5,West,"4,054","3,818","4,304",165,141,193,"1,000",933,"1,071","2,889","2,671","3,124","3,889","3,655","4,137"
6,Alabama,188,155,228,8,6,12,51,42,62,129,99,166,180,147,219
7,Alaska,43,37,50,2,1,2,10,8,12,31,26,38,42,36,49
8,Arizona,373,315,440,16,11,22,92,76,110,265,214,327,357,300,423
9,Arkansas,120,100,143,7,5,9,31,25,38,82,65,104,113,93,137
10,California,"2,122","1,934","2,326",83,65,107,528,473,589,"1,510","1,340","1,701","2,038","1,852","2,242"
11,Colorado,335,283,395,13,10,18,74,61,88,248,201,304,321,270,381
12,Connecticut,211,177,251,8,5,11,50,41,60,153,122,191,203,169,243
13,Delaware,46,39,55,2,1,2,12,10,15,32,26,40,45,37,53
14,District of Columbia,47,40,55,1,1,1,12,10,14,34,28,41,46,39,54
15,Florida,"1,009",897,"1,135",38,30,47,204,181,231,767,661,889,972,860,"1,097"
16,Georgia,455,391,529,18,14,25,118,100,138,319,262,387,437,373,510
17,Hawaii,62,52,74,2,2,4,15,12,18,45,36,56,60,50,71
18,Idaho,81,69,95,4,3,6,21,17,25,56,45,69,77,65,90
19,Illinois,649,574,734,25,19,32,168,145,193,457,390,535,624,550,709
20,Indiana,325,276,383,14,10,20,93,77,110,218,175,271,311,262,368
21,Iowa,165,140,193,6,4,9,46,39,55,112,91,138,158,134,186
22,Kansas,141,120,166,6,4,8,41,34,49,95,77,117,135,115,159
23,Kentucky,206,172,246,8,6,11,48,39,59,150,119,187,197,164,237
24,Louisiana,251,210,299,9,6,13,54,45,65,188,151,234,242,202,290
25,Maine,61,51,74,2,2,3,15,13,18,44,34,56,59,49,72
26,Maryland,329,274,393,12,8,16,70,58,85,247,196,309,317,263,381
27,Massachusetts,388,330,455,15,10,20,99,82,119,274,223,337,374,317,440
28,Michigan,474,419,536,21,16,26,128,112,146,325,277,382,453,399,514
29,Minnesota,289,244,341,9,7,13,76,64,91,203,163,252,279,235,331
30,Mississippi,126,105,151,5,4,8,30,24,37,90,72,114,120,100,145
31,Missouri,310,260,369,11,8,15,83,69,99,217,173,271,299,250,358
32,Montana,60,51,71,2,1,3,16,13,19,42,34,52,58,49,69
33,Nebraska,106,89,125,4,2,5,28,23,33,74,59,92,102,86,121
34,Nevada,149,125,177,7,5,9,34,28,41,108,87,135,142,119,170
35,New Hampshire,82,69,98,3,2,4,20,17,24,60,48,74,80,67,95
36,New Jersey,431,368,503,23,17,31,102,86,121,306,249,375,408,346,480
37,New Mexico,117,98,139,4,3,6,27,23,33,85,68,106,113,94,135
38,New York,"1,073",964,"1,195",36,28,46,258,227,293,779,680,892,"1,038",929,"1,158"
39,North Carolina,437,376,509,16,12,22,116,98,136,306,251,372,421,360,492
40,North Dakota,43,37,51,2,1,2,14,11,16,28,23,35,42,35,49
41,Ohio,629,559,706,22,17,29,143,125,164,463,398,537,606,537,684
42,Oklahoma,196,164,234,7,4,10,48,39,58,142,113,177,189,158,227
43,Oregon,235,199,277,9,7,12,52,43,62,174,142,213,226,191,267
44,Pennsylvania,699,619,788,24,18,31,181,159,206,494,421,579,675,596,764
45,Rhode Island,63,53,74,2,2,3,18,15,22,43,34,53,61,51,72
46,South Carolina,240,202,284,9,7,13,55,45,66,176,142,217,230,193,275
47,South Dakota,51,44,60,2,1,2,14,11,16,36,29,44,50,42,58
48,Tennessee,290,241,348,11,8,16,73,60,89,206,163,259,279,231,336
