"Table 1. Illicit Drug Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drugs include marijuana/hashish, cocaine (including crack), heroin, hallucinogens, inhalants, or prescription-type psychotherapeutics used nonmedically, including data from original methamphetamine questions but not including new methamphetamine items added in 2005 and 2006. ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"24,218","23,525","24,930","2,287","2,201","2,376","7,436","7,242","7,633","14,495","13,873","15,143","21,931","21,248","22,635"
2,Northeast,"4,530","4,290","4,784",392,366,420,"1,450","1,386","1,515","2,688","2,472","2,921","4,138","3,902","4,388"
3,Midwest,"4,956","4,737","5,182",479,452,507,"1,543","1,485","1,602","2,934","2,740","3,139","4,477","4,264","4,697"
4,South,"7,755","7,404","8,121",794,749,841,"2,438","2,342","2,538","4,522","4,218","4,847","6,961","6,622","7,316"
5,West,"6,977","6,605","7,367",621,577,669,"2,005","1,908","2,105","4,351","4,008","4,720","6,355","5,990","6,740"
6,Alabama,304,254,362,30,24,37,94,80,109,180,140,231,274,227,330
7,Alaska,75,63,87,6,5,7,19,17,22,50,40,61,69,58,81
8,Arizona,564,475,667,60,49,73,159,136,185,345,270,437,504,420,603
9,Arkansas,194,162,232,21,17,26,55,47,65,118,92,151,173,143,209
10,California,"3,527","3,240","3,838",305,272,343,"1,075",998,"1,157","2,147","1,884","2,441","3,222","2,942","3,527"
11,Colorado,641,552,740,58,48,70,180,159,202,403,326,495,583,498,679
12,Connecticut,302,257,354,29,23,35,95,83,110,178,141,223,273,230,323
13,Delaware,74,63,86,7,6,9,24,20,27,43,34,54,67,56,79
14,District of Columbia,83,73,95,4,3,5,26,23,30,53,44,64,79,69,91
15,Florida,"1,423","1,297","1,560",131,116,147,431,398,466,861,750,987,"1,292","1,170","1,427"
16,Georgia,771,647,915,79,64,97,222,190,258,470,369,597,692,575,830
17,Hawaii,117,98,138,11,9,13,32,27,37,74,58,94,106,88,127
18,Idaho,89,74,107,11,9,13,28,23,33,50,39,66,78,64,95
19,Illinois,934,852,"1,024",85,75,96,311,287,335,538,466,620,849,769,937
20,Indiana,430,365,505,43,34,53,147,127,169,240,189,305,387,325,459
21,Iowa,188,156,225,19,15,24,65,55,76,104,80,136,169,139,205
22,Kansas,141,116,171,16,13,20,48,39,57,78,58,103,125,101,154
23,Kentucky,263,221,312,24,19,30,87,75,101,151,118,194,239,199,286
24,Louisiana,295,248,350,31,25,38,90,77,106,173,135,221,264,219,317
