"Table 2. Marijuana Use in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"32,231","31,447","33,036","3,355","3,253","3,460","10,944","10,700","11,190","17,933","17,258","18,635","28,877","28,106","29,668"
2,Northeast,"6,281","5,994","6,582",602,569,637,"2,173","2,097","2,250","3,506","3,252","3,779","5,679","5,401","5,972"
3,Midwest,"6,735","6,472","7,004",709,675,744,"2,311","2,242","2,380","3,716","3,483","3,961","6,027","5,774","6,286"
4,South,"10,328","9,906","10,766","1,154","1,097","1,213","3,643","3,533","3,754","5,531","5,159","5,928","9,174","8,766","9,599"
5,West,"8,887","8,468","9,326",890,834,949,"2,818","2,711","2,926","5,179","4,801","5,586","7,997","7,588","8,426"
6,Alabama,389,332,455,40,32,49,136,120,154,213,166,273,350,295,412
7,Alaska,114,100,129,9,8,11,29,26,33,75,62,89,104,91,119
8,Arizona,699,599,813,81,68,96,225,200,252,392,307,498,618,522,728
9,Arkansas,235,201,275,30,25,36,78,68,88,128,100,163,205,173,243
10,California,"4,384","4,057","4,736",444,400,492,"1,519","1,429","1,612","2,421","2,131","2,745","3,940","3,622","4,283"
11,Colorado,814,715,922,75,64,89,240,218,262,499,412,602,739,643,844
12,Connecticut,425,372,486,46,39,55,148,134,163,231,186,286,379,328,437
13,Delaware,108,95,122,11,10,13,39,35,43,57,46,70,96,84,110
14,District of Columbia,116,104,128,6,5,6,41,38,45,69,58,81,110,98,123
15,Florida,"1,885","1,737","2,044",189,170,209,632,596,670,"1,063",929,"1,215","1,696","1,552","1,851"
16,Georgia,925,790,"1,080",105,88,125,303,267,341,518,406,657,820,691,969
17,Hawaii,151,130,175,15,12,18,44,39,49,93,74,115,137,116,160
18,Idaho,127,109,148,18,15,21,44,38,49,66,52,84,110,93,129
19,Illinois,"1,247","1,154","1,347",132,119,146,438,413,465,677,595,770,"1,115","1,025","1,212"
20,Indiana,598,518,689,66,55,78,232,207,258,300,236,380,532,457,618
21,Iowa,266,227,311,29,24,35,104,92,117,133,102,174,237,200,280
22,Kansas,192,163,226,24,20,29,78,68,89,90,68,120,168,141,201
23,Kentucky,334,287,388,34,28,42,125,110,141,175,136,224,300,255,352
24,Louisiana,405,346,472,45,38,54,140,124,158,219,171,280,359,303,424
25,Maine,186,161,214,15,13,18,50,45,55,121,99,148,171,147,198
26,Maryland,565,487,654,66,56,79,216,194,240,282,219,363,499,425,584
27,Massachusetts,885,779,"1,004",74,62,87,324,295,355,487,396,596,812,709,926
28,Michigan,"1,268","1,180","1,361",130,119,142,383,362,404,755,675,842,"1,138","1,053","1,229"
29,Minnesota,536,461,621,51,42,61,183,163,205,302,239,379,485,413,567
