"Table 3. Marijuana Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"19,332","18,726","19,958","1,781","1,706","1,859","6,560","6,372","6,753","10,991","10,453","11,556","17,551","16,954","18,169"
2,Northeast,"3,709","3,490","3,942",323,299,349,"1,289","1,230","1,350","2,096","1,900","2,312","3,385","3,172","3,614"
3,Midwest,"3,976","3,777","4,182",376,354,399,"1,384","1,330","1,440","2,216","2,043","2,401","3,600","3,407","3,801"
4,South,"5,946","5,633","6,275",589,550,630,"2,100","2,009","2,194","3,257","2,985","3,552","5,357","5,053","5,678"
5,West,"5,702","5,369","6,054",493,454,534,"1,787","1,695","1,883","3,422","3,122","3,749","5,209","4,883","5,555"
6,Alabama,199,160,246,18,14,24,75,62,89,105,76,147,180,143,226
7,Alaska,69,58,81,5,4,7,17,15,20,46,37,58,63,53,76
8,Arizona,426,349,518,45,36,55,134,113,158,248,185,329,381,308,470
9,Arkansas,138,110,173,13,10,17,46,38,55,79,57,110,125,98,158
10,California,"2,822","2,562","3,107",243,213,277,965,888,"1,047","1,614","1,383","1,880","2,579","2,325","2,860"
11,Colorado,547,467,636,45,37,55,164,144,186,338,269,420,502,425,589
12,Connecticut,272,228,323,25,20,31,92,79,106,156,121,200,247,206,297
13,Delaware,61,52,73,6,5,8,21,18,25,34,26,44,55,46,66
14,District of Columbia,66,56,77,3,3,4,24,21,28,39,31,49,63,54,74
15,Florida,"1,153","1,034","1,286",104,91,119,377,346,409,673,568,794,"1,049",934,"1,178"
16,Georgia,624,510,759,59,47,74,199,170,233,365,272,487,564,456,695
17,Hawaii,98,81,118,9,7,11,26,22,31,62,47,81,88,72,108
18,Idaho,72,58,89,8,6,10,24,20,29,40,29,54,64,51,80
19,Illinois,744,670,825,65,57,75,280,258,303,398,335,473,678,607,757
20,Indiana,340,280,411,32,26,40,130,110,153,177,131,239,307,250,376
21,Iowa,153,124,188,15,12,19,57,48,68,81,59,111,138,110,172
22,Kansas,103,82,129,12,9,15,40,32,48,52,36,73,91,71,116
23,Kentucky,194,159,235,17,13,22,77,65,90,99,73,135,176,144,216
24,Louisiana,191,153,237,19,15,24,76,63,91,96,68,134,172,136,216
25,Maine,114,96,136,9,7,11,32,28,36,73,57,94,105,87,126
26,Maryland,342,283,412,34,28,42,126,108,147,181,136,241,308,252,375
27,Massachusetts,563,476,664,44,35,54,206,180,235,313,242,402,519,435,618
28,Michigan,809,739,886,74,65,83,245,227,265,490,426,563,735,667,811
29,Minnesota,279,227,343,28,23,36,98,82,116,153,112,207,251,201,312
30,Mississippi,124,101,152,13,10,16,51,43,60,60,43,83,111,89,137
31,Missouri,355,295,426,34,27,42,132,113,153,189,141,251,321,264,390
32,Montana,88,73,104,6,5,8,25,22,29,56,44,71,81,67,97
33,Nebraska,83,68,102,9,7,12,31,26,37,43,31,58,74,59,91
34,Nevada,183,150,223,18,15,23,53,45,63,112,84,148,165,133,204
35,New Hampshire,111,95,129,10,8,12,39,34,44,62,49,79,101,86,119
36,New Jersey,389,309,487,38,29,49,137,114,163,214,151,301,351,275,445
37,New Mexico,154,128,185,15,13,19,44,38,51,95,72,123,139,113,169
38,New York,"1,373","1,241","1,518",118,105,134,457,421,495,798,681,933,"1,255","1,127","1,396"
39,North Carolina,497,402,612,51,40,64,173,145,206,273,199,372,446,356,556
40,North Dakota,30,25,37,3,2,3,14,11,16,14,10,20,28,22,34
41,Ohio,734,666,809,68,60,77,232,214,251,434,372,505,666,599,740
42,Oklahoma,173,138,218,16,12,20,62,51,74,96,68,134,157,123,200
43,Oregon,395,333,466,28,23,35,96,83,110,270,215,337,367,307,436
