"Table 4. Perceptions of Great Risk of Smoking Marijuana Once a Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"77,132","75,730","78,432","6,312","6,174","6,453","5,484","5,310","5,661","65,337","64,033","66,650","70,820","69,437","72,094"
2,Northeast,"13,126","12,653","13,584",992,947,"1,039",813,764,864,"11,320","10,871","11,778","12,133","11,665","12,587"
3,Midwest,"15,231","14,791","15,654","1,409","1,365","1,453","1,038",991,"1,088","12,784","12,370","13,206","13,822","13,389","14,239"
4,South,"32,721","31,957","33,457","2,614","2,536","2,695","2,357","2,266","2,452","27,749","27,029","28,481","30,107","29,349","30,833"
5,West,"16,055","15,438","16,656","1,297","1,235","1,361","1,275","1,198","1,356","13,483","12,897","14,080","14,758","14,148","15,351"
6,Alabama,"1,577","1,441","1,716",123,110,137,106,92,123,"1,347","1,217","1,480","1,454","1,320","1,590"
7,Alaska,113,98,130,11,10,13,11,9,13,91,77,106,102,87,118
8,Arizona,"1,404","1,245","1,573",117,102,134,104,87,124,"1,183","1,033","1,344","1,287","1,132","1,451"
9,Arkansas,865,788,944,73,65,81,53,45,63,739,666,814,792,717,869
10,California,"8,957","8,448","9,468",653,603,706,741,676,810,"7,563","7,077","8,067","8,304","7,802","8,808"
11,Colorado,946,832,"1,071",79,68,91,60,49,74,807,698,927,868,755,990
12,Connecticut,752,669,841,66,58,76,46,37,56,640,561,725,686,604,773
13,Delaware,223,200,247,15,13,17,13,11,16,195,173,218,208,186,232
14,District of Columbia,123,108,139,7,6,8,11,9,13,105,91,121,116,102,132
15,Florida,"5,416","5,137","5,695",365,340,391,348,320,378,"4,703","4,434","4,979","5,051","4,774","5,328"
16,Georgia,"2,880","2,626","3,141",249,223,277,221,191,255,"2,409","2,166","2,660","2,630","2,381","2,886"
17,Hawaii,300,266,336,21,18,24,18,15,22,261,228,296,279,246,314
18,Idaho,382,344,423,39,35,44,29,25,35,314,278,353,343,306,383
19,Illinois,"3,169","2,995","3,344",274,256,293,207,188,227,"2,688","2,521","2,861","2,895","2,723","3,068"
20,Indiana,"1,595","1,430","1,769",153,136,172,105,88,125,"1,337","1,182","1,502","1,442","1,282","1,611"
21,Iowa,717,637,802,66,59,75,49,41,58,602,526,683,651,573,733
22,Kansas,623,554,697,62,55,70,55,47,65,506,441,576,561,494,633
23,Kentucky,"1,193","1,081","1,310",104,93,116,80,69,94,"1,008",900,"1,122","1,089",978,"1,204"
24,Louisiana,"1,349","1,235","1,467",110,98,123,106,92,122,"1,133","1,024","1,246","1,240","1,127","1,355"
25,Maine,230,200,262,21,19,24,12,10,15,196,167,228,208,179,240
26,Maryland,"1,478","1,319","1,644",108,95,122,95,79,113,"1,275","1,124","1,437","1,370","1,214","1,534"
27,Massachusetts,"1,180","1,029","1,344",95,82,109,66,53,82,"1,019",876,"1,178","1,085",937,"1,246"
28,Michigan,"2,016","1,890","2,143",184,171,198,137,123,152,"1,694","1,574","1,821","1,831","1,707","1,958"
29,Minnesota,"1,124",986,"1,273",104,92,118,69,57,83,951,820,"1,095","1,020",885,"1,166"
30,Mississippi,899,821,978,81,73,90,82,72,94,735,662,810,817,742,895
31,Missouri,"1,431","1,279","1,590",125,111,140,87,73,103,"1,219","1,076","1,372","1,306","1,158","1,462"
32,Montana,213,188,239,18,16,21,11,9,14,183,160,209,195,171,221
33,Nebraska,425,377,475,39,34,44,31,26,36,355,310,403,386,340,435
34,Nevada,656,584,732,49,43,57,45,38,54,562,493,635,607,537,681
35,New Hampshire,226,198,256,20,18,23,11,9,14,195,168,224,206,179,235
36,New Jersey,"2,480","2,232","2,737",174,152,199,132,111,157,"2,173","1,935","2,423","2,305","2,062","2,559"
37,New Mexico,469,416,525,39,34,45,36,31,43,394,344,447,430,378,485
38,New York,"4,782","4,501","5,065",333,308,360,319,289,353,"4,129","3,859","4,409","4,449","4,171","4,729"
39,North Carolina,"2,475","2,209","2,755",192,169,217,172,144,204,"2,111","1,859","2,379","2,283","2,023","2,557"
40,North Dakota,170,154,188,16,14,17,15,12,18,140,124,157,155,138,172
41,Ohio,"2,512","2,358","2,667",244,228,260,176,160,194,"2,092","1,944","2,247","2,268","2,116","2,422"
42,Oklahoma,910,815,"1,010",90,79,101,81,69,95,739,649,837,820,727,919
43,Oregon,647,560,743,59,50,68,47,38,57,542,460,635,589,504,682
44,Pennsylvania,"3,155","2,986","3,325",257,240,274,204,185,224,"2,695","2,533","2,861","2,899","2,732","3,065"
45,Rhode Island,199,174,227,16,13,18,14,12,17,169,145,196,183,159,210
46,South Carolina,"1,293","1,171","1,419",100,89,112,92,78,107,"1,101",985,"1,223","1,193","1,073","1,317"
47,South Dakota,200,181,221,19,17,21,16,13,19,165,147,185,181,162,201
48,Tennessee,"1,931","1,763","2,104",147,130,164,129,112,149,"1,655","1,494","1,822","1,784","1,620","1,954"
49,Texas,"7,815","7,467","8,160",658,616,700,614,567,663,"6,544","6,210","6,883","7,158","6,814","7,497"
50,Utah,751,681,824,97,87,108,77,66,89,577,513,644,654,587,724
51,Vermont,122,107,138,9,8,11,7,6,9,105,91,120,112,98,128
52,Virginia,"1,772","1,575","1,982",156,138,176,122,100,148,"1,493","1,307","1,695","1,616","1,422","1,821"
53,Washington,"1,080",943,"1,229",101,88,116,84,69,101,895,767,"1,039",979,845,"1,125"
54,West Virginia,523,476,571,37,33,42,31,26,36,454,409,502,485,439,533
55,Wisconsin,"1,248","1,101","1,404",122,108,137,92,77,109,"1,034",895,"1,185","1,126",983,"1,279"
56,Wyoming,135,121,149,13,11,14,10,8,12,112,99,126,122,109,136
