"Table 10. Binge Alcohol Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Binge Alcohol Use is defined as drinking five or more drinks on the same occasion (i.e., at the same time or within a couple of hours of each other) on at least 1 day in the past 30 days.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"59,876","58,746","61,019","1,678","1,604","1,754","13,424","13,164","13,687","44,774","43,713","45,851","58,199","57,077","59,332"
2,Northeast,"11,496","11,102","11,900",312,288,337,"2,645","2,564","2,727","8,539","8,164","8,926","11,184","10,790","11,588"
3,Midwest,"14,321","13,931","14,718",372,350,396,"3,182","3,105","3,259","10,767","10,396","11,145","13,949","13,559","14,344"
4,South,"20,792","20,190","21,405",601,563,642,"4,529","4,401","4,659","15,662","15,097","16,240","20,191","19,592","20,800"
5,West,"13,267","12,752","13,798",392,360,428,"3,069","2,957","3,182","9,806","9,324","10,308","12,875","12,363","13,402"
6,Alabama,860,766,963,25,20,31,170,152,189,665,577,763,835,741,937
7,Alaska,128,114,143,3,3,4,30,27,33,94,82,108,124,110,139
8,Arizona,"1,242","1,106","1,389",37,30,46,275,246,304,930,805,"1,069","1,205","1,069","1,351"
9,Arkansas,511,454,572,16,13,20,114,103,126,381,328,440,495,438,557
10,California,"6,684","6,280","7,107",198,173,227,"1,591","1,503","1,680","4,895","4,513","5,300","6,486","6,084","6,908"
11,Colorado,"1,097",987,"1,215",28,23,35,248,227,271,821,719,932,"1,069",958,"1,186"
12,Connecticut,728,653,809,22,17,27,167,152,183,539,469,616,706,632,787
13,Delaware,172,153,193,4,3,5,42,38,46,127,109,146,168,149,189
14,District of Columbia,185,169,201,2,1,2,47,43,51,137,122,152,183,168,200
15,Florida,"3,424","3,202","3,656",88,77,101,687,649,726,"2,648","2,436","2,874","3,336","3,114","3,568"
16,Georgia,"1,598","1,407","1,809",53,43,66,337,300,377,"1,207","1,032","1,405","1,545","1,354","1,754"
17,Hawaii,261,233,291,6,5,8,55,50,61,200,174,229,255,227,285
18,Idaho,254,225,286,10,8,12,56,49,62,189,162,218,244,216,276
19,Illinois,"2,845","2,684","3,012",71,62,81,615,587,644,"2,158","2,005","2,318","2,773","2,613","2,940"
20,Indiana,"1,206","1,080","1,342",38,31,47,300,274,327,868,751,997,"1,168","1,042","1,304"
21,Iowa,672,605,744,18,14,22,168,155,182,486,424,555,655,587,726
22,Kansas,582,520,650,17,14,20,126,114,139,439,382,502,566,503,633
23,Kentucky,798,715,887,21,17,26,185,168,202,592,515,677,777,695,865
24,Louisiana,955,859,"1,058",27,22,34,187,168,206,741,652,837,928,833,"1,030"
25,Maine,247,221,276,7,5,8,56,51,61,185,160,213,241,214,269
26,Maryland,"1,138","1,015","1,271",31,25,38,249,225,273,858,744,984,"1,107",984,"1,239"
27,Massachusetts,"1,470","1,330","1,619",40,33,49,358,328,388,"1,072",943,"1,213","1,430","1,290","1,579"
28,Michigan,"2,027","1,914","2,144",52,46,59,462,440,484,"1,514","1,406","1,626","1,975","1,863","2,092"
29,Minnesota,"1,216","1,099","1,341",28,22,34,260,238,282,929,819,"1,047","1,188","1,071","1,312"
30,Mississippi,482,424,544,16,13,20,112,100,125,353,300,413,466,409,528
31,Missouri,"1,218","1,089","1,356",35,29,43,267,242,292,916,795,"1,048","1,183","1,055","1,320"
32,Montana,214,192,237,5,4,7,49,45,53,160,140,182,209,187,232
33,Nebraska,361,323,401,10,8,13,88,80,96,262,228,301,350,312,390
