"Table 11. Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2012 and 2013 NSDUHs ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"109,291","107,946","110,619","9,802","9,646","9,959","11,735","11,514","11,957","87,754","86,470","89,038","99,489","98,157","100,795"
2,Northeast,"19,083","18,604","19,561","1,623","1,576","1,671","1,938","1,869","2,008","15,522","15,062","15,985","17,460","16,987","17,931"
3,Midwest,"20,994","20,549","21,438","1,992","1,942","2,043","2,177","2,114","2,242","16,824","16,399","17,252","19,001","18,563","19,438"
4,South,"42,491","41,719","43,262","3,862","3,777","3,948","4,679","4,566","4,793","33,950","33,200","34,704","38,629","37,864","39,389"
5,West,"26,723","26,059","27,380","2,324","2,249","2,401","2,940","2,835","3,048","21,458","20,814","22,098","24,398","23,739","25,049"
6,Alabama,"1,835","1,709","1,962",162,149,175,198,180,216,"1,475","1,355","1,595","1,673","1,549","1,797"
7,Alaska,223,206,241,22,20,24,25,22,28,176,160,193,201,184,218
8,Arizona,"2,309","2,133","2,489",210,192,229,239,214,266,"1,860","1,694","2,029","2,099","1,927","2,274"
9,Arkansas,958,885,"1,033",90,82,98,103,92,114,765,696,836,868,796,941
10,California,"14,547","13,994","15,101","1,237","1,174","1,300","1,682","1,594","1,771","11,629","11,096","12,163","13,311","12,763","13,858"
11,Colorado,"1,640","1,510","1,775",143,129,158,152,134,172,"1,345","1,223","1,471","1,497","1,370","1,628"
12,Connecticut,"1,294","1,202","1,387",111,101,122,119,105,133,"1,064",976,"1,153","1,183","1,092","1,274"
13,Delaware,315,293,339,27,25,29,35,31,39,253,232,275,288,266,311
14,District of Columbia,222,206,239,15,14,16,30,27,34,177,162,193,207,191,224
15,Florida,"7,496","7,206","7,786",589,562,616,765,727,804,"6,142","5,859","6,427","6,907","6,620","7,194"
