"Table 14. Cigarette Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"56,648","55,472","57,849","1,516","1,442","1,593","10,832","10,600","11,067","44,300","43,182","45,446","55,132","53,963","56,326"
2,Northeast,"9,561","9,210","9,924",247,227,268,"1,882","1,808","1,957","7,433","7,091","7,787","9,314","8,966","9,675"
3,Midwest,"13,707","13,348","14,072",385,362,409,"2,543","2,469","2,618","10,780","10,426","11,139","13,323","12,966","13,683"
4,South,"22,140","21,560","22,738",573,536,612,"4,059","3,935","4,186","17,508","16,939","18,096","21,567","20,990","22,162"
5,West,"11,239","10,786","11,708",312,283,343,"2,348","2,246","2,454","8,579","8,140","9,040","10,927","10,479","11,392"
6,Alabama,"1,045",941,"1,156",24,19,30,181,163,201,840,743,945,"1,021",918,"1,131"
7,Alaska,131,118,146,4,3,5,28,25,31,100,87,113,127,114,141
8,Arizona,"1,071",951,"1,202",30,23,37,215,190,242,827,715,950,"1,041",922,"1,172"
9,Arkansas,651,592,714,18,15,22,108,97,120,525,469,585,634,575,696
10,California,"5,147","4,790","5,522",134,113,160,"1,152","1,069","1,238","3,861","3,522","4,226","5,013","4,660","5,385"
11,Colorado,914,819,"1,015",25,20,32,193,172,214,695,608,792,888,795,989
12,Connecticut,545,486,610,14,11,18,109,96,123,422,368,483,531,472,595
13,Delaware,179,161,198,5,4,6,35,31,39,139,123,157,174,157,193
14,District of Columbia,129,116,143,1,1,2,30,26,33,98,86,111,128,115,141
15,Florida,"3,330","3,120","3,552",69,59,80,553,517,590,"2,708","2,503","2,926","3,261","3,053","3,482"
16,Georgia,"1,751","1,565","1,953",50,40,63,331,294,371,"1,370","1,195","1,562","1,701","1,516","1,900"
17,Hawaii,195,171,221,5,4,7,37,33,42,152,130,177,189,166,215
18,Idaho,275,246,307,10,8,12,52,47,58,214,187,243,266,237,297
19,Illinois,"2,426","2,286","2,571",62,54,71,462,434,490,"1,902","1,768","2,044","2,364","2,226","2,508"
20,Indiana,"1,393","1,267","1,526",42,34,51,265,240,292,"1,085",968,"1,211","1,351","1,227","1,482"
21,Iowa,592,531,657,18,14,22,124,111,137,451,394,513,574,514,639
22,Kansas,537,482,598,15,12,18,102,91,114,421,368,478,523,467,582
