"Table 16. Alcohol Dependence or Abuse in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,,,,,,,
NOTE: Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"17,506","16,929","18,102",776,725,830,"4,742","4,577","4,913","11,988","11,462","12,536","16,731","16,162","17,317"
2,Northeast,"3,174","2,974","3,388",136,121,153,872,822,924,"2,166","1,980","2,369","3,038","2,840","3,250"
3,Midwest,"3,804","3,609","4,009",171,156,188,"1,040",993,"1,089","2,593","2,412","2,786","3,633","3,440","3,836"
4,South,"6,093","5,779","6,422",276,252,303,"1,619","1,541","1,701","4,197","3,905","4,508","5,816","5,507","6,141"
5,West,"4,436","4,142","4,747",192,169,218,"1,212","1,137","1,290","3,032","2,759","3,330","4,244","3,954","4,551"
6,Alabama,248,208,296,13,10,18,65,54,77,170,135,213,235,196,281
7,Alaska,41,34,49,2,1,2,11,9,13,29,23,36,40,33,48
8,Arizona,388,323,465,19,14,25,97,81,116,272,215,343,369,305,445
9,Arkansas,135,111,164,7,5,9,38,32,46,91,70,117,129,105,157
10,California,"2,307","2,079","2,557",95,77,118,653,590,721,"1,559","1,352","1,794","2,212","1,988","2,458"
11,Colorado,325,275,382,14,10,18,92,78,108,219,177,269,311,263,366
12,Connecticut,214,180,254,8,6,12,54,45,64,152,121,189,206,172,245
13,Delaware,54,46,64,2,2,3,16,13,19,36,29,45,52,44,62
14,District of Columbia,66,56,77,1,1,1,17,15,20,48,39,59,65,55,76
15,Florida,"1,009",897,"1,134",38,32,47,236,211,263,734,630,854,970,860,"1,095"
16,Georgia,446,368,539,19,14,27,121,100,147,305,240,387,426,351,517
17,Hawaii,86,71,103,3,2,5,22,19,26,60,47,76,82,68,100
18,Idaho,86,73,102,5,4,7,23,19,27,59,47,73,81,68,97
19,Illinois,689,618,767,27,22,33,190,172,210,472,406,547,662,592,739
20,Indiana,378,318,447,19,14,25,107,90,126,252,202,315,359,301,427
21,Iowa,159,133,190,8,6,10,48,40,57,103,81,131,151,126,181
22,Kansas,165,138,198,8,6,10,44,36,52,114,90,143,158,131,189
23,Kentucky,214,180,255,10,8,14,60,50,72,144,114,180,204,170,243
24,Louisiana,227,190,271,11,9,15,60,50,73,155,124,194,216,180,259
25,Maine,73,61,87,3,2,4,19,16,23,50,40,63,70,58,83
26,Maryland,320,267,383,13,9,17,83,69,98,224,179,281,307,255,369
27,Massachusetts,404,340,478,16,12,21,115,97,136,272,218,339,387,325,460
28,Michigan,570,514,632,25,21,30,150,135,166,396,344,455,546,490,607
29,Minnesota,296,248,353,13,10,18,79,66,94,204,163,254,283,235,338
30,Mississippi,141,117,169,7,5,9,38,32,46,96,76,121,134,111,162
31,Missouri,333,282,394,17,13,22,90,75,106,227,183,281,317,266,376
32,Montana,70,59,82,4,3,5,20,17,23,47,38,58,66,56,78
33,Nebraska,119,101,140,6,4,8,34,29,40,79,64,98,113,95,133
34,Nevada,176,147,211,7,5,9,40,33,48,129,103,161,169,141,203
35,New Hampshire,87,74,102,5,4,6,27,23,31,55,44,69,82,69,97
36,New Jersey,493,408,595,20,14,28,126,105,150,347,273,440,473,390,573
37,New Mexico,126,106,149,7,5,9,32,27,38,87,70,109,119,99,142
38,New York,"1,090",978,"1,215",47,39,57,289,260,321,754,651,872,"1,043",933,"1,166"
39,North Carolina,471,387,572,23,17,31,129,107,156,319,248,408,448,367,547
40,North Dakota,49,42,58,2,2,3,17,14,20,30,24,37,47,40,55
41,Ohio,621,560,689,28,23,33,168,152,185,426,370,490,594,533,661
42,Oklahoma,226,188,270,10,7,13,57,48,68,159,126,200,216,179,259
43,Oregon,235,197,279,10,7,13,60,50,70,165,132,205,225,188,268
44,Pennsylvania,700,628,780,32,27,39,205,187,226,462,397,538,668,597,746
45,Rhode Island,76,65,89,2,2,3,24,20,28,50,40,62,74,62,87
46,South Carolina,235,196,281,11,8,15,62,51,74,163,130,204,225,186,270
47,South Dakota,54,46,64,2,2,3,16,13,18,36,29,45,52,44,61
48,Tennessee,300,251,358,16,12,21,81,67,96,204,162,256,284,237,341
49,Texas,"1,404","1,269","1,552",71,59,85,389,351,430,945,823,"1,083","1,334","1,201","1,479"
50,Utah,120,98,146,7,5,10,42,35,51,71,54,92,113,92,138
51,Vermont,37,31,44,2,1,3,12,10,14,23,19,29,35,29,42
52,Virginia,500,422,591,20,15,26,143,120,169,337,271,418,480,404,569
