"Table 20. Dependence or Abuse of Illicit Drugs or Alcohol in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drugs include marijuana/hashish, cocaine (including crack), heroin, hallucinogens, inhalants, or prescription-type psychotherapeutics used nonmedically, including data from original methamphetamine questions but not including new methamphetamine items added in 2005 and 2006. ",,,,,,,,,,,,,,,,
NOTE: Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"21,873","21,224","22,542","1,410","1,338","1,485","6,275","6,086","6,468","14,189","13,603","14,799","20,464","19,826","21,121"
2,Northeast,"3,935","3,729","4,154",238,218,260,"1,175","1,118","1,234","2,523","2,336","2,724","3,697","3,496","3,911"
3,Midwest,"4,748","4,546","4,959",292,272,314,"1,358","1,306","1,412","3,098","2,912","3,296","4,456","4,259","4,662"
4,South,"7,745","7,414","8,089",523,486,562,"2,151","2,066","2,240","5,070","4,765","5,393","7,222","6,897","7,560"
5,West,"5,445","5,146","5,758",356,323,393,"1,591","1,506","1,678","3,498","3,228","3,788","5,088","4,796","5,396"
6,Alabama,309,265,359,22,17,28,81,69,94,206,168,252,287,245,336
7,Alaska,53,45,61,3,2,4,16,14,18,34,28,42,50,43,58
8,Arizona,487,422,560,34,27,44,132,113,153,320,265,386,452,390,523
9,Arkansas,187,162,216,13,10,17,55,47,64,119,97,145,174,150,202
10,California,"2,765","2,534","3,014",182,156,211,854,784,930,"1,729","1,526","1,956","2,583","2,358","2,828"
11,Colorado,420,364,483,27,21,34,121,105,139,272,224,328,393,339,453
12,Connecticut,253,218,293,15,12,20,71,61,82,167,136,204,238,204,277
13,Delaware,71,62,82,4,3,5,21,18,24,46,38,56,67,58,78
14,District of Columbia,76,66,87,2,2,2,21,18,24,53,45,63,74,65,85
15,Florida,"1,299","1,178","1,431",79,68,92,319,292,348,901,789,"1,026","1,219","1,101","1,350"
16,Georgia,589,505,686,43,33,55,164,139,193,383,312,469,547,466,640
17,Hawaii,98,83,116,7,5,9,28,24,33,63,51,79,92,77,109
18,Idaho,108,93,124,8,7,11,28,24,32,71,59,86,99,85,115
19,Illinois,825,749,908,50,43,59,246,225,268,529,461,607,775,701,856
20,Indiana,477,415,546,32,25,41,148,129,170,296,244,358,444,385,512
21,Iowa,202,172,236,11,9,15,62,54,72,128,103,159,191,162,224
22,Kansas,197,169,228,12,9,15,54,47,63,130,107,159,185,158,215
23,Kentucky,286,248,331,17,14,22,82,70,95,187,154,226,269,231,312
24,Louisiana,307,267,353,22,18,28,85,73,98,200,165,241,285,246,329
25,Maine,98,85,114,5,4,6,26,22,29,68,55,83,93,80,109
26,Maryland,395,343,455,24,19,30,115,99,133,256,211,309,371,321,429
27,Massachusetts,507,441,581,27,22,34,155,134,177,325,268,392,479,415,552
28,Michigan,731,671,796,47,41,54,193,177,210,491,435,553,684,625,748
29,Minnesota,378,325,438,21,16,27,104,89,121,253,208,306,357,306,416
30,Mississippi,189,161,220,14,11,18,49,42,58,125,102,153,174,148,205
31,Missouri,419,363,483,27,22,34,118,102,136,273,225,331,392,338,453
32,Montana,86,75,98,5,4,6,25,22,28,56,47,68,81,70,93
33,Nebraska,143,124,164,10,8,12,41,36,47,92,76,111,133,115,154
34,Nevada,211,182,245,13,10,16,53,45,62,145,119,176,198,170,231
35,New Hampshire,106,92,121,7,5,9,33,29,38,66,54,80,99,86,114
36,New Jersey,566,484,660,36,28,47,170,147,197,359,290,444,530,451,621
37,New Mexico,163,141,188,12,10,15,42,36,48,109,90,132,151,130,176
38,New York,"1,365","1,245","1,496",85,73,99,400,365,436,881,773,"1,003","1,280","1,163","1,409"
39,North Carolina,679,587,785,45,35,58,192,166,221,442,363,537,634,546,736
40,North Dakota,58,51,66,3,2,4,20,17,23,35,29,42,55,48,62
41,Ohio,807,738,881,48,41,55,227,209,246,532,469,602,759,692,832
42,Oklahoma,262,225,305,15,12,19,75,64,87,173,140,212,247,211,289
43,Oregon,307,265,355,19,15,24,79,69,91,209,172,253,288,247,335
44,Pennsylvania,894,818,976,55,47,63,275,253,297,564,495,643,839,765,920
45,Rhode Island,97,85,110,5,4,6,30,26,34,62,51,74,92,80,105
46,South Carolina,315,271,364,21,16,26,86,73,100,208,171,254,294,252,343
47,South Dakota,61,53,70,3,3,4,18,16,21,40,33,48,58,50,67
48,Tennessee,399,343,462,26,20,34,112,95,130,261,214,317,373,319,434
49,Texas,"1,676","1,537","1,825",134,116,154,490,448,534,"1,052",929,"1,191","1,542","1,408","1,689"
50,Utah,158,134,187,13,10,17,56,47,66,90,71,114,146,123,173
51,Vermont,50,43,58,3,2,4,15,13,18,32,26,39,47,41,54
52,Virginia,576,501,662,35,28,44,174,149,202,367,305,442,541,469,625
53,Washington,542,471,622,31,24,39,144,125,165,367,305,441,511,442,589
54,West Virginia,129,111,150,7,6,9,32,27,37,90,74,110,122,104,142
