"Table 21. Needing But Not Receiving Treatment for Illicit Drug Use in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Needing But Not Receiving Treatment refers to respondents classified as needing treatment for illicit drugs, but not receiving treatment for an illicit drug problem at a specialty facility (i.e., drug and alcohol rehabilitation facilities [inpatient or outpatient], hospitals [inpatient only], and mental health centers). Illicit Drugs include marijuana/hashish, cocaine (including crack), inhalants, hallucinogens, heroin, or prescription-type psychotherapeutics used nonmedically, including data from original methamphetamine questions but not including new methamphetamine items added in 2005 and 2006. ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"6,316","6,002","6,647",869,812,929,"2,407","2,292","2,526","3,041","2,757","3,354","5,448","5,140","5,773"
2,Northeast,"1,139","1,036","1,252",139,124,156,441,406,480,558,472,660,"1,000",901,"1,109"
3,Midwest,"1,294","1,192","1,405",171,156,189,480,448,515,643,556,742,"1,123","1,025","1,229"
4,South,"2,297","2,114","2,495",320,292,350,839,782,899,"1,138",984,"1,316","1,977","1,802","2,170"
5,West,"1,587","1,436","1,753",239,211,270,646,587,711,702,583,844,"1,348","1,206","1,507"
6,Alabama,97,75,126,11,8,16,31,23,40,55,38,81,86,65,113
7,Alaska,14,11,18,2,1,2,6,5,8,6,4,9,12,10,16
8,Arizona,147,116,186,24,18,32,50,39,64,73,50,106,123,95,159
9,Arkansas,60,47,76,8,6,11,22,17,28,30,20,43,52,40,67
10,California,822,713,948,124,103,149,366,317,421,333,253,439,699,597,818
11,Colorado,117,92,149,19,14,25,48,38,61,50,33,76,98,76,127
12,Connecticut,68,53,87,10,7,13,28,22,35,31,20,46,58,45,76
13,Delaware,20,15,25,2,2,3,8,6,10,10,7,15,18,14,23
14,District of Columbia,19,15,24,1,1,2,7,6,9,10,7,15,17,13,22
15,Florida,369,316,430,53,44,63,130,112,151,185,143,240,316,266,374
16,Georgia,218,170,278,30,22,40,76,59,96,112,77,164,188,144,244
17,Hawaii,27,20,36,4,3,5,10,7,13,13,8,21,23,17,32
18,Idaho,27,21,34,5,4,7,11,9,14,11,8,17,22,17,29
19,Illinois,227,193,267,33,27,40,87,76,100,107,80,143,194,163,232
