"Table 22. Needing But Not Receiving Treatment for Alcohol Use in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Needing But Not Receiving Treatment refers to respondents classified as needing treatment for alcohol, but not receiving treatment for an alcohol problem at a specialty facility (i.e., drug and alcohol rehabilitation facilities [inpatient or outpatient], hospitals [inpatient only], and mental health centers). ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"16,714","16,151","17,294",738,688,790,"4,629","4,465","4,797","11,348","10,836","11,882","15,976","15,423","16,548"
2,Northeast,"3,010","2,824","3,210",131,117,146,847,796,901,"2,033","1,863","2,218","2,880","2,696","3,077"
3,Midwest,"3,658","3,474","3,852",162,147,178,"1,005",955,"1,057","2,491","2,318","2,677","3,496","3,314","3,688"
4,South,"5,908","5,593","6,239",263,239,289,"1,604","1,524","1,688","4,040","3,749","4,351","5,645","5,333","5,973"
5,West,"4,137","3,875","4,414",182,160,207,"1,172","1,095","1,253","2,783","2,546","3,041","3,955","3,696","4,230"
6,Alabama,245,203,295,13,9,17,65,54,77,168,131,213,232,191,281
7,Alaska,38,32,46,2,1,2,11,9,13,26,20,33,37,30,44
8,Arizona,362,299,436,17,13,23,93,77,111,251,198,318,344,284,417
9,Arkansas,130,107,157,6,5,8,39,32,46,85,65,109,124,102,150
10,California,"2,144","1,929","2,381",91,73,113,640,577,709,"1,413","1,222","1,632","2,053","1,841","2,287"
11,Colorado,299,251,355,12,9,17,84,71,99,202,161,253,287,240,341
12,Connecticut,206,171,249,8,6,11,54,45,64,144,113,183,198,163,240
13,Delaware,51,43,61,2,1,3,15,13,18,34,27,43,49,41,59
14,District of Columbia,63,53,73,1,1,1,17,14,20,45,37,55,62,52,73
15,Florida,964,857,"1,083",37,30,45,233,209,260,693,595,807,927,821,"1,046"
16,Georgia,432,351,530,19,14,26,116,95,141,297,229,385,413,334,509
17,Hawaii,82,68,99,3,2,5,22,18,27,57,44,73,79,65,96
18,Idaho,85,71,102,5,4,7,22,18,26,59,47,74,80,67,96
19,Illinois,662,589,744,26,21,32,185,166,206,451,386,527,636,564,717
20,Indiana,373,314,442,18,13,23,103,86,121,253,202,315,356,298,423
21,Iowa,150,123,182,7,5,9,46,39,55,97,74,125,143,117,174
22,Kansas,160,133,191,8,6,10,42,35,50,110,87,139,152,126,183
23,Kentucky,212,176,256,10,8,13,61,51,73,141,110,181,202,167,245
24,Louisiana,223,185,269,11,8,14,61,51,73,152,119,194,213,175,258
25,Maine,70,59,84,3,2,4,18,16,22,49,39,62,67,56,81
26,Maryland,313,260,377,12,9,17,83,70,99,218,171,276,301,248,364
27,Massachusetts,375,317,444,16,12,21,110,92,131,249,200,310,360,302,427
28,Michigan,552,496,613,24,20,29,146,133,161,381,330,439,528,473,588
29,Minnesota,276,228,333,13,9,17,74,62,89,189,149,240,264,217,319
30,Mississippi,143,119,172,7,5,9,37,31,45,99,78,125,136,112,164
31,Missouri,324,270,389,16,12,21,87,73,103,222,175,281,309,255,372
32,Montana,66,55,78,3,2,4,18,16,21,44,35,55,62,52,74
33,Nebraska,116,98,137,5,4,7,33,28,38,78,62,97,110,93,131
34,Nevada,166,136,201,7,5,9,39,33,47,120,94,152,159,130,194
35,New Hampshire,84,71,99,4,3,6,26,22,30,54,43,68,80,67,95
36,New Jersey,465,385,559,20,14,27,124,104,147,321,252,407,445,367,538
37,New Mexico,121,100,147,6,5,8,30,25,36,85,66,108,115,94,140
38,New York,"1,034",925,"1,156",45,38,55,282,253,315,706,606,822,989,880,"1,110"
39,North Carolina,450,366,551,21,15,29,129,107,155,300,229,390,428,347,528
40,North Dakota,47,40,55,2,1,3,16,14,19,28,23,35,45,38,52
41,Ohio,589,526,659,25,21,31,162,147,180,401,343,468,564,502,633
42,Oklahoma,208,171,252,9,7,12,58,49,69,141,109,181,199,163,242
43,Oregon,220,183,264,9,7,13,58,48,68,153,121,193,211,175,254
44,Pennsylvania,669,600,746,30,25,36,198,179,219,441,379,513,639,571,715
