"Table 1. Illicit Drug Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drugs include marijuana/hashish, cocaine (including crack), heroin, hallucinogens, inhalants, or prescription-type psychotherapeutics used nonmedically, including data from original methamphetamine questions but not including new methamphetamine items added in 2005 and 2006. ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"25,779","25,102","26,471","2,267","2,175","2,363","7,583","7,375","7,796","15,928","15,321","16,556","23,511","22,848","24,191"
2,Northeast,"4,899","4,656","5,154",386,357,416,"1,454","1,386","1,525","3,059","2,842","3,291","4,513","4,276","4,764"
3,Midwest,"5,150","4,922","5,386",452,423,484,"1,592","1,525","1,661","3,106","2,908","3,315","4,698","4,477","4,927"
4,South,"8,422","8,070","8,786",800,751,852,"2,531","2,429","2,636","5,091","4,785","5,415","7,621","7,280","7,976"
5,West,"7,309","6,953","7,679",629,581,681,"2,006","1,906","2,110","4,673","4,348","5,019","6,679","6,331","7,043"
6,Alabama,325,271,388,30,24,37,98,83,116,197,154,251,296,244,356
7,Alaska,77,66,88,6,5,7,20,18,23,50,42,61,71,61,82
8,Arizona,614,524,717,57,46,69,172,147,199,385,310,477,557,471,657
9,Arkansas,215,183,252,22,18,27,60,51,70,133,107,165,193,163,228
10,California,"3,671","3,394","3,969",320,283,361,"1,059",979,"1,145","2,292","2,044","2,567","3,351","3,081","3,643"
11,Colorado,737,643,843,60,49,72,195,173,218,483,400,580,678,586,780
12,Connecticut,302,258,353,27,22,34,93,79,108,182,147,225,275,233,324
13,Delaware,82,71,96,7,6,8,26,22,30,50,40,61,76,64,88
14,District of Columbia,85,74,97,4,3,5,24,20,27,57,48,68,81,70,93
15,Florida,"1,552","1,418","1,697",127,112,144,460,424,498,964,847,"1,097","1,425","1,295","1,567"
16,Georgia,794,681,923,70,57,86,218,188,252,506,411,620,724,617,847
17,Hawaii,110,93,130,9,7,11,26,21,31,75,61,93,101,85,120
18,Idaho,102,86,121,12,10,15,28,24,33,62,49,78,90,75,108
19,Illinois,"1,024",933,"1,123",88,76,102,314,285,345,622,543,710,935,847,"1,032"
20,Indiana,497,426,577,46,37,56,166,143,191,285,229,354,451,384,529
21,Iowa,162,132,197,15,12,20,56,46,67,91,68,120,146,118,180
22,Kansas,188,158,223,18,14,23,57,48,67,113,89,142,170,141,204
23,Kentucky,306,257,362,24,19,30,90,76,106,191,152,240,281,235,336
24,Louisiana,324,273,383,31,25,39,93,79,109,199,158,250,293,245,349
25,Maine,155,134,179,10,8,12,37,33,42,108,89,130,145,124,169
26,Maryland,535,458,623,49,40,60,161,139,184,325,261,402,485,412,571
27,Massachusetts,759,661,869,47,39,58,243,214,275,469,387,565,712,617,819
28,Michigan,975,895,"1,061",78,69,90,278,255,301,619,549,697,897,819,980
29,Minnesota,403,345,471,33,26,41,127,110,146,244,195,303,371,314,436
30,Mississippi,207,175,245,23,19,28,64,53,75,121,95,153,184,154,220
31,Missouri,465,395,548,37,30,46,153,131,178,275,218,345,428,361,507
32,Montana,95,81,110,7,6,9,25,21,28,63,51,77,87,74,103
