"Table 2. Marijuana Use in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"34,038","33,271","34,819","3,304","3,195","3,417","11,077","10,836","11,321","19,657","18,992","20,341","30,734","29,983","31,500"
2,Northeast,"6,594","6,311","6,890",583,548,620,"2,132","2,047","2,218","3,879","3,627","4,147","6,011","5,733","6,301"
3,Midwest,"6,986","6,721","7,258",670,635,707,"2,383","2,296","2,472","3,932","3,708","4,168","6,316","6,060","6,579"
4,South,"11,034","10,632","11,446","1,128","1,071","1,187","3,732","3,597","3,869","6,175","5,835","6,532","9,906","9,519","10,305"
5,West,"9,424","9,049","9,813",923,867,982,"2,831","2,712","2,951","5,671","5,334","6,026","8,501","8,134","8,884"
6,Alabama,404,344,470,38,31,46,145,127,164,221,174,280,366,309,429
7,Alaska,114,101,127,10,9,12,30,27,34,73,62,85,103,91,116
8,Arizona,752,652,865,82,69,97,231,204,259,439,355,539,670,575,777
9,Arkansas,277,239,321,30,25,36,85,74,96,162,131,201,247,211,288
10,California,"4,633","4,337","4,948",463,419,511,"1,506","1,414","1,601","2,664","2,400","2,953","4,170","3,880","4,479"
11,Colorado,909,813,"1,014",85,73,99,253,231,275,571,486,668,824,732,925
12,Connecticut,427,372,489,45,38,53,148,132,165,234,188,290,382,330,442
13,Delaware,109,95,125,10,9,12,39,35,43,60,48,74,99,85,114
14,District of Columbia,121,109,135,6,5,7,38,35,42,77,66,90,115,103,129
15,Florida,"1,990","1,843","2,146",196,176,217,666,625,709,"1,128",997,"1,273","1,794","1,652","1,946"
16,Georgia,963,832,"1,110",94,79,111,308,273,346,561,452,693,869,744,"1,010"
17,Hawaii,144,124,167,13,11,16,38,33,44,92,74,113,130,111,153
18,Idaho,152,132,175,20,17,24,47,41,53,85,69,105,132,113,154
19,Illinois,"1,305","1,205","1,412",125,110,141,434,401,468,746,659,842,"1,180","1,083","1,284"
20,Indiana,700,613,798,68,57,81,264,235,294,369,299,453,632,550,725
21,Iowa,251,216,291,24,20,30,103,90,117,124,97,158,227,194,264
22,Kansas,259,224,298,28,23,33,93,82,104,138,110,172,231,198,268
23,Kentucky,398,342,463,35,29,43,132,116,149,231,184,289,363,309,425
