"Table 5. Average Annual Marijuana Initiates, by Age Group and State: Estimated Numbers (in Thousands), Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Average annual number of marijuana initiates = X1 / 2, where X1 is the number of marijuana initiates in the past 24 months. For details, see Section B of the ""2011-2012 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at http://www.samhsa.gov/data/. ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"2,879","2,781","2,981","1,233","1,185","1,283","1,385","1,322","1,452",261,219,310,"1,646","1,564","1,733"
2,Northeast,527,493,564,215,199,232,261,237,287,51,39,67,312,283,344
3,Midwest,616,580,653,256,240,273,307,282,334,52,41,67,360,329,393
4,South,"1,002",943,"1,063",441,415,469,473,433,517,87,68,111,560,511,614
5,West,735,688,785,321,297,346,344,311,379,70,54,92,414,375,457
6,Alabama,38,32,45,17,13,21,18,14,23,3,2,5,21,17,26
7,Alaska,7,6,8,3,2,4,3,3,4,1,1,1,4,3,5
8,Arizona,63,54,74,29,23,36,28,23,36,5,3,8,34,27,42
9,Arkansas,26,22,30,12,10,15,11,9,14,2,1,4,14,11,17
10,California,398,362,438,165,146,185,195,170,224,38,26,54,233,204,267
11,Colorado,55,47,65,28,23,35,22,17,28,5,3,8,27,22,34
12,Connecticut,39,33,46,19,15,23,17,13,21,3,2,5,20,16,25
13,Delaware,8,7,10,4,3,4,4,3,5,1,0,1,5,4,6
14,District of Columbia,7,6,8,2,2,3,4,3,5,1,0,1,5,4,6
15,Florida,165,148,183,73,64,83,76,66,89,16,11,23,92,79,106
16,Georgia,84,72,98,38,31,47,39,32,49,7,4,11,46,38,57
17,Hawaii,11,9,14,5,4,6,5,4,6,2,1,4,7,5,9
18,Idaho,16,14,19,8,7,10,7,5,8,1,1,2,8,6,10
19,Illinois,114,101,128,45,39,52,58,49,68,10,7,15,69,59,80
