"Table 6. Illicit Drug Use Other Than Marijuana in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drugs Other Than Marijuana include cocaine (including crack), heroin, hallucinogens, inhalants, or prescription-type psychotherapeutics used nonmedically, including data from original methamphetamine questions but not including new methamphetamine items added in 2005 and 2006. ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"8,692","8,306","9,095",820,764,881,"2,293","2,176","2,416","5,579","5,217","5,964","7,872","7,491","8,271"
2,Northeast,"1,499","1,365","1,647",120,105,137,400,363,440,979,862,"1,113","1,379","1,250","1,522"
3,Midwest,"1,710","1,585","1,844",161,145,180,499,461,540,"1,050",942,"1,170","1,549","1,428","1,679"
4,South,"3,110","2,900","3,333",325,295,359,823,765,886,"1,961","1,777","2,164","2,784","2,581","3,002"
5,West,"2,373","2,168","2,597",214,187,244,571,518,629,"1,588","1,404","1,795","2,160","1,959","2,378"
6,Alabama,146,115,185,14,10,19,42,33,54,90,64,126,133,103,170
7,Alaska,20,16,26,2,1,2,6,5,8,12,9,17,19,14,24
8,Arizona,222,172,285,20,15,28,51,39,66,151,109,207,201,154,262
9,Arkansas,91,71,116,10,7,14,20,16,27,60,44,83,81,62,105
10,California,"1,302","1,136","1,490",117,96,142,307,263,357,878,730,"1,054","1,185","1,024","1,370"
11,Colorado,184,145,234,14,10,19,45,35,58,125,92,170,170,132,219
12,Connecticut,95,72,125,8,6,12,24,18,32,63,44,90,87,65,116
13,Delaware,29,23,37,2,2,3,9,7,12,18,13,25,27,21,35
14,District of Columbia,28,22,35,1,1,2,5,4,7,21,15,27,26,20,33
15,Florida,520,443,611,41,33,52,151,130,176,327,260,411,479,404,567
16,Georgia,284,220,366,31,22,42,60,46,77,194,139,269,253,193,331
17,Hawaii,34,26,45,3,2,5,7,5,10,23,16,34,31,23,42
18,Idaho,35,27,45,4,3,6,9,7,12,22,15,31,31,24,41
19,Illinois,322,273,380,28,22,36,95,79,113,199,158,251,294,247,350
20,Indiana,171,132,221,16,12,22,50,38,65,104,74,148,154,118,202
21,Iowa,69,53,90,7,5,10,21,16,28,42,29,59,62,47,82
22,Kansas,77,61,98,8,6,10,22,17,28,48,34,66,70,54,90
