"Table 9. Alcohol Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"138,279","136,915","139,629","2,875","2,769","2,983","20,777","20,512","21,039","114,627","113,344","115,894","135,404","134,073","136,719"
2,Northeast,"27,463","27,011","27,911",550,516,586,"3,923","3,842","4,003","22,991","22,551","23,426","26,913","26,464","27,358"
3,Midwest,"31,066","30,631","31,500",609,575,644,"4,681","4,601","4,760","25,776","25,356","26,193","30,457","30,025","30,887"
4,South,"47,855","47,122","48,584","1,020",968,"1,073","7,320","7,193","7,447","39,515","38,803","40,219","46,835","46,106","47,556"
5,West,"31,894","31,318","32,468",696,650,745,"4,853","4,743","4,961","26,345","25,789","26,897","31,198","30,624","31,769"
6,Alabama,"1,803","1,676","1,933",40,33,49,275,254,296,"1,488","1,366","1,610","1,763","1,636","1,890"
7,Alaska,313,296,329,6,4,7,50,46,53,257,241,273,307,290,324
8,Arizona,"2,846","2,676","3,016",65,54,77,425,396,453,"2,357","2,194","2,516","2,782","2,613","2,948"
9,Arkansas,"1,035",965,"1,107",23,19,29,176,163,188,836,770,904,"1,012",943,"1,082"
10,California,"16,204","15,747","16,661",370,331,412,"2,577","2,483","2,671","13,257","12,816","13,695","15,834","15,380","16,286"
11,Colorado,"2,698","2,572","2,820",58,48,70,388,367,408,"2,251","2,131","2,366","2,640","2,515","2,759"
12,Connecticut,"1,828","1,734","1,919",37,29,45,250,234,266,"1,541","1,452","1,626","1,791","1,698","1,880"
13,Delaware,441,417,465,7,6,9,64,60,68,370,347,392,434,410,457
14,District of Columbia,381,365,396,4,3,5,68,64,72,309,294,323,377,361,392
15,Florida,"8,917","8,637","9,195",170,152,190,"1,155","1,112","1,197","7,592","7,319","7,862","8,747","8,468","9,022"
16,Georgia,"3,980","3,740","4,223",89,74,106,596,557,635,"3,295","3,066","3,523","3,891","3,653","4,128"
17,Hawaii,566,531,602,11,9,13,83,77,89,472,438,506,556,520,591
18,Idaho,620,581,659,15,13,19,87,80,93,518,481,554,605,566,643
19,Illinois,"5,959","5,781","6,135",114,100,128,857,824,890,"4,988","4,817","5,156","5,846","5,669","6,020"
20,Indiana,"2,782","2,612","2,950",62,52,74,457,429,483,"2,263","2,104","2,419","2,720","2,552","2,885"
21,Iowa,"1,445","1,369","1,521",26,21,32,241,228,253,"1,178","1,105","1,250","1,419","1,343","1,493"
22,Kansas,"1,264","1,195","1,333",27,22,32,200,187,212,"1,038",972,"1,102","1,237","1,169","1,305"
23,Kentucky,"1,548","1,440","1,659",31,25,38,259,240,278,"1,258","1,155","1,363","1,518","1,410","1,627"
24,Louisiana,"1,860","1,748","1,973",45,38,54,291,270,311,"1,524","1,418","1,631","1,815","1,703","1,926"
25,Maine,679,644,713,11,9,13,85,80,89,583,549,616,668,633,701
26,Maryland,"2,883","2,732","3,032",57,48,68,399,373,424,"2,427","2,284","2,564","2,826","2,676","2,971"
27,Massachusetts,"3,566","3,398","3,728",65,54,78,549,520,576,"2,952","2,793","3,104","3,501","3,335","3,660"
28,Michigan,"4,558","4,420","4,695",92,82,104,703,677,728,"3,763","3,630","3,894","4,466","4,329","4,601"
29,Minnesota,"2,660","2,523","2,794",45,37,55,370,348,391,"2,245","2,114","2,370","2,615","2,479","2,746"
30,Mississippi,"1,025",952,"1,099",24,20,29,178,165,192,822,753,892,"1,001",929,"1,074"
31,Missouri,"2,554","2,398","2,708",51,43,62,394,369,418,"2,108","1,961","2,253","2,502","2,348","2,654"
32,Montana,499,471,526,8,7,10,72,68,76,418,392,444,490,463,517
33,Nebraska,875,831,920,16,13,19,136,127,144,724,682,765,860,815,903
34,Nevada,"1,277","1,204","1,348",30,25,36,168,156,179,"1,079","1,010","1,146","1,246","1,174","1,317"
35,New Hampshire,734,700,767,15,12,17,100,95,105,620,587,650,720,686,752
36,New Jersey,"4,272","4,058","4,481",100,85,118,541,508,573,"3,630","3,424","3,830","4,171","3,958","4,378"
37,New Mexico,830,775,885,16,13,20,128,119,136,686,634,738,814,759,868
38,New York,"9,353","9,079","9,624",185,165,207,"1,369","1,315","1,422","7,799","7,536","8,057","9,168","8,896","9,435"
39,North Carolina,"3,840","3,603","4,078",78,65,94,582,545,619,"3,179","2,954","3,404","3,761","3,526","3,996"
40,North Dakota,353,336,369,6,5,7,70,67,74,277,261,292,347,331,363
41,Ohio,"5,215","5,049","5,380",102,90,114,766,736,795,"4,348","4,189","4,505","5,114","4,949","5,277"
42,Oklahoma,"1,537","1,440","1,635",34,28,41,254,237,270,"1,250","1,158","1,341","1,503","1,406","1,600"
43,Oregon,"1,913","1,808","2,016",38,32,44,260,245,275,"1,615","1,515","1,711","1,875","1,770","1,976"
44,Pennsylvania,"6,180","5,990","6,366",121,108,136,891,859,922,"5,168","4,984","5,348","6,058","5,871","6,243"
45,Rhode Island,520,493,547,10,8,12,86,80,91,425,399,450,510,483,537
46,South Carolina,"1,913","1,798","2,027",35,29,42,305,285,326,"1,572","1,464","1,681","1,878","1,764","1,991"
47,South Dakota,380,360,400,6,5,7,60,57,63,314,294,333,374,354,394
48,Tennessee,"2,335","2,170","2,504",47,39,57,371,341,401,"1,916","1,761","2,074","2,287","2,122","2,454"
49,Texas,"10,143","9,810","10,478",252,223,283,"1,689","1,624","1,754","8,202","7,884","8,520","9,892","9,561","10,223"
50,Utah,727,663,794,19,14,25,136,121,152,572,512,635,708,645,775
51,Vermont,332,316,348,6,5,7,53,50,55,273,257,288,326,310,342
52,Virginia,"3,607","3,410","3,802",70,59,82,556,523,588,"2,981","2,793","3,165","3,537","3,342","3,729"
53,Washington,"3,136","2,967","3,303",55,46,67,438,409,466,"2,643","2,481","2,801","3,080","2,912","3,245"
54,West Virginia,607,562,653,13,10,15,101,93,109,493,451,537,594,550,639
55,Wisconsin,"3,020","2,880","3,156",63,53,74,427,403,450,"2,530","2,396","2,657","2,958","2,818","3,090"
56,Wyoming,266,251,281,5,4,6,41,38,43,221,207,235,261,246,276
