"Table 10. Binge Alcohol Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Binge Alcohol Use is defined as drinking five or more drinks on the same occasion (i.e., at the same time or within a couple of hours of each other) on at least 1 day in the past 30 days.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"60,505","59,470","61,548","1,534","1,456","1,615","13,185","12,923","13,450","45,786","44,822","46,759","58,971","57,942","60,008"
2,Northeast,"11,310","10,922","11,708",291,267,318,"2,494","2,411","2,579","8,524","8,159","8,901","11,019","10,634","11,413"
3,Midwest,"14,233","13,853","14,618",332,306,359,"3,143","3,061","3,227","10,758","10,401","11,122","13,901","13,524","14,284"
4,South,"21,107","20,535","21,688",535,496,577,"4,460","4,330","4,592","16,112","15,584","16,650","20,572","20,003","21,149"
5,West,"13,855","13,392","14,329",376,342,413,"3,087","2,978","3,198","10,392","9,960","10,837","13,479","13,019","13,951"
6,Alabama,872,778,973,23,18,29,178,159,199,670,585,764,849,756,948
7,Alaska,133,120,147,3,2,4,32,29,36,97,86,110,130,117,144
8,Arizona,"1,281","1,152","1,421",35,27,44,271,243,300,976,858,"1,104","1,247","1,119","1,384"
9,Arkansas,506,456,561,14,11,18,117,105,129,375,330,425,492,443,546
10,California,"7,173","6,799","7,563",197,170,228,"1,637","1,548","1,727","5,340","4,991","5,706","6,977","6,605","7,364"
11,Colorado,"1,121","1,016","1,232",28,22,36,239,217,260,854,758,957,"1,092",988,"1,203"
12,Connecticut,718,649,792,18,14,23,161,144,178,539,476,607,700,632,774
