"Table 13. Tobacco Product Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., chewing tobacco or snuff), cigars, or pipe tobacco.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,"66,885","65,803","67,987","1,847","1,765","1,932","12,563","12,314","12,814","52,476","51,454","53,519","65,039","63,961","66,135"
2,Northeast,"11,286","10,914","11,669",300,276,325,"2,129","2,050","2,209","8,857","8,496","9,230","10,986","10,619","11,364"
3,Midwest,"16,098","15,697","16,504",462,431,494,"3,022","2,939","3,107","12,614","12,217","13,018","15,636","15,238","16,039"
4,South,"26,415","25,784","27,062",710,668,755,"4,807","4,675","4,940","20,898","20,272","21,541","25,705","25,078","26,345"
5,West,"13,087","12,608","13,579",375,343,410,"2,605","2,498","2,715","10,107","9,640","10,593","12,712","12,239","13,199"
6,Alabama,"1,275","1,169","1,386",32,26,40,232,212,252,"1,011",913,"1,114","1,243","1,138","1,351"
7,Alaska,170,155,185,6,5,8,34,31,38,129,116,143,163,149,178
8,Arizona,"1,217","1,091","1,352",37,29,47,240,214,268,940,825,"1,065","1,180","1,056","1,313"
9,Arkansas,868,802,936,26,21,31,139,127,151,703,640,767,842,777,909
10,California,"5,882","5,519","6,262",154,130,182,"1,235","1,152","1,322","4,493","4,146","4,863","5,729","5,370","6,103"
11,Colorado,"1,128","1,023","1,239",37,29,46,235,213,257,856,759,961,"1,091",989,"1,200"
12,Connecticut,645,579,718,20,15,25,136,121,152,490,430,556,626,560,697
13,Delaware,222,202,244,6,4,7,41,37,45,175,156,196,217,196,238
14,District of Columbia,152,138,166,2,1,2,31,27,35,119,107,132,150,136,164
15,Florida,"4,063","3,831","4,307",92,79,106,653,613,694,"3,318","3,091","3,556","3,971","3,740","4,213"
16,Georgia,"2,103","1,912","2,306",58,47,72,398,362,436,"1,647","1,469","1,839","2,045","1,856","2,245"
17,Hawaii,235,209,264,6,5,8,43,38,49,185,161,212,229,203,257
18,Idaho,325,295,358,12,9,15,61,55,68,252,224,283,314,283,346
19,Illinois,"2,718","2,565","2,877",69,59,81,513,481,547,"2,136","1,990","2,288","2,649","2,498","2,806"
20,Indiana,"1,620","1,483","1,765",49,39,60,320,292,348,"1,252","1,125","1,386","1,572","1,436","1,713"
21,Iowa,709,646,775,23,18,28,144,131,157,542,484,604,686,624,751
22,Kansas,644,586,707,21,17,26,134,123,146,489,436,547,623,566,684
23,Kentucky,"1,242","1,143","1,344",37,31,45,214,197,231,990,898,"1,087","1,205","1,107","1,306"
24,Louisiana,"1,123","1,029","1,222",36,29,44,212,192,232,876,788,968,"1,087",995,"1,184"
25,Maine,301,272,332,8,7,10,52,47,57,241,213,270,292,264,323
26,Maryland,"1,086",972,"1,209",27,21,35,206,184,229,853,749,968,"1,059",947,"1,180"
