"Table 14. Cigarette Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"55,507","54,475","56,558","1,305","1,236","1,378","10,281","10,041","10,523","43,921","42,942","44,922","54,202","53,177","55,246"
2,Northeast,"9,355","9,001","9,722",213,193,234,"1,744","1,666","1,824","7,399","7,049","7,761","9,142","8,792","9,505"
3,Midwest,"13,433","13,053","13,819",332,308,357,"2,436","2,354","2,520","10,665","10,287","11,052","13,101","12,725","13,483"
4,South,"21,958","21,345","22,587",489,454,528,"3,901","3,774","4,031","17,567","16,956","18,197","21,468","20,863","22,089"
5,West,"10,761","10,310","11,228",271,244,301,"2,200","2,094","2,309","8,291","7,854","8,748","10,490","10,044","10,952"
6,Alabama,"1,045",948,"1,148",22,17,28,184,166,203,839,748,938,"1,023",926,"1,125"
7,Alaska,127,115,141,4,3,5,28,25,32,95,84,108,124,111,137
8,Arizona,"1,029",915,"1,154",27,21,34,203,177,230,800,696,916,"1,002",889,"1,126"
9,Arkansas,696,637,758,17,13,21,109,97,121,570,514,629,679,620,740
10,California,"4,882","4,541","5,241",113,93,136,"1,073",992,"1,159","3,696","3,374","4,043","4,769","4,432","5,125"
11,Colorado,866,774,967,25,19,32,187,166,209,655,569,750,842,751,941
12,Connecticut,516,457,580,13,10,17,113,98,128,391,337,451,503,445,567
13,Delaware,185,167,205,4,3,5,35,31,39,146,129,164,181,163,200
14,District of Columbia,127,113,141,1,1,2,26,22,29,100,88,113,125,112,139
15,Florida,"3,465","3,245","3,698",61,51,73,534,495,576,"2,869","2,655","3,096","3,404","3,185","3,635"
16,Georgia,"1,689","1,513","1,880",36,28,46,302,268,338,"1,352","1,187","1,532","1,653","1,478","1,842"
17,Hawaii,195,173,220,4,3,6,37,32,43,154,133,177,191,168,215
18,Idaho,270,243,299,9,7,11,49,44,55,212,187,240,261,235,290
19,Illinois,"2,358","2,212","2,512",51,43,61,441,409,475,"1,866","1,726","2,013","2,307","2,162","2,459"
20,Indiana,"1,351","1,229","1,481",36,28,45,257,230,285,"1,059",945,"1,181","1,315","1,194","1,443"
21,Iowa,586,528,648,16,12,20,116,104,129,454,401,513,570,513,631
