"Table 17. Alcohol Dependence in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,,,,,,,
NOTE: Dependence is based on the definition found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"8,031","7,668","8,409",250,219,285,"1,955","1,850","2,067","5,825","5,482","6,188","7,780","7,420","8,158"
2,Northeast,"1,430","1,311","1,559",42,35,51,334,300,371,"1,054",944,"1,175","1,387","1,269","1,516"
3,Midwest,"1,725","1,608","1,850",55,47,65,433,400,469,"1,237","1,130","1,353","1,670","1,554","1,794"
4,South,"2,868","2,674","3,075",90,76,107,665,614,721,"2,113","1,935","2,306","2,778","2,587","2,983"
5,West,"2,008","1,846","2,184",63,51,77,523,473,578,"1,422","1,274","1,586","1,945","1,785","2,120"
6,Alabama,121,95,153,4,3,5,25,19,34,92,69,122,117,91,149
7,Alaska,19,15,23,0,0,1,5,4,7,13,10,17,18,14,23
8,Arizona,189,148,240,6,4,9,42,32,54,141,105,190,183,143,234
9,Arkansas,67,52,85,2,2,3,16,12,21,48,36,65,64,50,82
10,California,"1,062",929,"1,213",32,23,43,299,257,348,731,613,872,"1,030",899,"1,180"
11,Colorado,141,113,177,5,3,7,32,25,42,104,79,137,137,109,171
12,Connecticut,89,71,112,3,2,4,23,17,30,64,47,85,86,68,109
13,Delaware,22,17,28,1,0,1,5,4,7,16,12,21,21,17,27
14,District of Columbia,24,19,31,0,0,0,6,4,8,18,14,24,24,19,30
15,Florida,464,391,550,13,9,18,90,75,109,361,293,444,451,379,537
16,Georgia,253,203,314,8,5,12,65,51,83,180,137,236,245,196,306
17,Hawaii,40,31,51,1,1,1,9,7,12,29,22,40,39,30,50
18,Idaho,41,33,52,2,1,2,10,8,13,30,23,39,40,32,50
19,Illinois,318,273,370,10,7,13,84,70,100,224,184,272,308,264,360
20,Indiana,177,142,221,6,4,9,46,36,60,125,95,164,171,136,214
21,Iowa,74,58,93,3,2,4,19,15,25,52,39,69,71,56,90
