"Table 18. Illicit Drug Dependence or Abuse in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drugs include marijuana/hashish, cocaine (including crack), heroin, hallucinogens, inhalants, or prescription-type psychotherapeutics used nonmedically, including data from original methamphetamine questions but not including new methamphetamine items added in 2005 and 2006. ",,,,,,,,,,,,,,,,
NOTE: Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"6,964","6,652","7,291",871,813,934,"2,439","2,317","2,566","3,654","3,383","3,948","6,093","5,788","6,414"
2,Northeast,"1,328","1,217","1,450",136,120,154,466,428,508,726,631,836,"1,192","1,084","1,312"
3,Midwest,"1,434","1,332","1,544",174,157,193,513,476,552,748,662,844,"1,261","1,162","1,367"
4,South,"2,484","2,325","2,654",322,293,353,845,790,905,"1,317","1,180","1,470","2,163","2,009","2,328"
5,West,"1,717","1,576","1,871",240,211,272,615,560,674,863,748,995,"1,478","1,341","1,627"
6,Alabama,107,84,135,11,8,15,32,25,42,63,45,89,96,74,124
7,Alaska,19,15,23,2,1,3,7,6,9,9,7,13,17,13,21
8,Arizona,177,140,222,24,18,33,55,43,70,97,69,136,152,118,196
9,Arkansas,58,46,74,8,6,11,19,15,24,31,22,44,50,38,65
10,California,876,768,998,125,104,150,336,292,387,415,331,519,751,647,871
11,Colorado,128,102,159,18,14,24,45,36,57,64,46,90,110,85,140
12,Connecticut,88,70,110,9,7,13,35,27,44,44,31,62,78,61,100
13,Delaware,27,21,34,2,2,3,10,8,12,15,11,21,25,19,31
14,District of Columbia,20,16,25,1,1,2,7,6,9,11,8,16,19,14,24
15,Florida,410,353,477,58,48,70,136,117,158,216,168,277,352,297,418
16,Georgia,238,191,297,28,21,36,80,64,99,131,94,182,211,165,268
17,Hawaii,26,20,35,3,2,4,9,7,12,14,10,21,24,18,32
18,Idaho,31,25,39,5,4,7,10,8,13,16,11,23,26,20,33
