"Table 19. Illicit Drug Dependence in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drugs include marijuana/hashish, cocaine (including crack), heroin, hallucinogens, inhalants, or prescription-type psychotherapeutics used nonmedically, including data from original methamphetamine questions but not including new methamphetamine items added in 2005 and 2006. ",,,,,,,,,,,,,,,,
NOTE: Dependence is based on the definition found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"4,954","4,686","5,237",467,426,513,"1,735","1,632","1,844","2,752","2,515","3,010","4,486","4,223","4,766"
2,Northeast,992,896,"1,099",73,63,86,342,307,380,577,497,671,919,825,"1,024"
3,Midwest,"1,037",957,"1,123",98,87,111,369,336,405,569,503,644,939,861,"1,023"
4,South,"1,739","1,596","1,894",176,156,199,584,536,636,978,854,"1,120","1,562","1,422","1,716"
5,West,"1,186","1,073","1,310",119,102,139,440,390,495,627,536,733,"1,066",957,"1,187"
6,Alabama,78,60,100,6,4,9,24,18,33,47,33,66,71,54,93
7,Alaska,13,10,16,1,1,2,5,4,7,6,4,9,12,9,15
8,Arizona,104,81,132,11,8,16,34,25,47,58,41,82,92,70,121
9,Arkansas,41,32,53,5,3,6,14,10,19,23,16,32,36,27,48
10,California,627,539,729,62,49,79,249,207,298,316,248,402,565,479,665
11,Colorado,84,67,107,9,6,12,31,23,42,44,31,62,76,59,97
12,Connecticut,68,53,87,5,4,7,28,20,38,34,24,49,63,48,81
13,Delaware,21,17,27,1,1,2,8,6,10,12,8,17,20,15,25
14,District of Columbia,16,12,21,1,0,1,5,4,7,10,7,14,15,12,20
15,Florida,291,243,349,32,25,41,103,86,123,156,116,209,259,212,317
16,Georgia,165,129,210,16,12,21,53,39,70,96,68,136,149,114,194
17,Hawaii,20,15,26,2,1,2,7,5,9,12,8,17,18,13,24
18,Idaho,20,16,26,3,2,4,7,5,9,11,8,16,18,13,24
19,Illinois,190,160,225,18,14,23,69,56,85,103,80,132,172,143,207
20,Indiana,109,86,137,10,8,14,43,32,58,55,40,77,98,77,126
21,Iowa,40,31,52,4,3,6,15,11,21,21,15,30,36,27,47
22,Kansas,37,29,48,4,3,6,13,9,18,21,14,29,33,25,44
23,Kentucky,72,55,93,6,4,8,22,16,30,44,31,63,66,50,88
24,Louisiana,71,56,92,7,5,9,23,16,31,42,30,59,65,49,85
25,Maine,21,17,27,2,1,2,8,6,10,12,8,17,20,15,26
26,Maryland,103,81,130,10,7,14,36,26,48,57,41,80,93,72,120
27,Massachusetts,122,95,156,9,7,13,46,34,61,67,47,95,113,87,147
28,Michigan,144,120,173,14,11,19,45,37,56,84,64,111,130,106,159
29,Minnesota,76,59,98,7,5,9,24,18,33,45,32,64,70,53,92
30,Mississippi,46,35,59,5,3,7,15,11,21,26,18,37,41,31,54
31,Missouri,101,80,126,9,7,13,40,30,53,51,37,72,91,72,117
32,Montana,14,11,18,1,1,2,5,4,7,7,5,11,12,9,17
33,Nebraska,26,21,34,3,2,4,11,8,15,13,9,19,24,18,31
34,Nevada,43,34,55,5,3,7,15,11,20,24,17,34,39,30,51
35,New Hampshire,22,18,28,2,1,3,8,6,11,12,9,17,20,16,26
36,New Jersey,131,103,168,11,8,15,44,33,57,77,55,108,121,93,156
37,New Mexico,32,25,42,3,2,4,9,7,13,20,14,28,29,22,39
38,New York,375,316,446,24,19,32,119,97,144,232,182,296,351,292,421
39,North Carolina,143,112,182,14,10,19,46,33,62,83,60,116,129,99,168
40,North Dakota,10,8,13,1,1,1,4,3,6,5,3,7,9,7,12
41,Ohio,203,172,239,17,13,22,68,56,83,118,92,150,186,156,222
42,Oklahoma,49,37,64,5,3,7,17,12,24,27,18,39,44,33,59
43,Oregon,69,55,87,6,5,9,24,18,32,39,28,54,63,49,81
44,Pennsylvania,219,187,257,17,13,22,77,63,92,125,99,159,202,170,239
45,Rhode Island,20,16,26,2,1,2,7,5,10,11,8,16,18,14,24
46,South Carolina,75,59,95,7,5,10,26,19,35,42,30,59,68,52,88
47,South Dakota,10,8,13,1,1,2,4,3,5,5,4,8,9,7,12
48,Tennessee,93,72,121,9,7,13,29,21,41,55,38,78,84,63,112
49,Texas,323,271,383,40,31,52,111,90,138,171,130,224,282,233,342
50,Utah,41,32,54,5,3,7,15,11,21,22,15,31,37,27,49
51,Vermont,13,10,16,1,1,1,6,4,7,6,5,9,12,9,15
52,Virginia,120,94,153,11,8,15,42,31,56,67,48,95,109,84,142
53,Washington,110,87,139,11,8,15,36,27,49,63,46,88,99,77,128
54,West Virginia,33,26,42,2,2,3,11,8,15,20,14,27,30,23,39
55,Wisconsin,91,71,116,10,7,14,33,24,46,47,33,67,80,61,106
