"Table 21. Needing But Not Receiving Treatment for Illicit Drug Use in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Needing But Not Receiving Treatment refers to respondents classified as needing treatment for illicit drugs, but not receiving treatment for an illicit drug problem at a specialty facility (i.e., drug and alcohol rehabilitation facilities [inpatient or outpatient], hospitals [inpatient only], or mental health centers). Illicit Drugs include marijuana/hashish, cocaine (including crack), inhalants, hallucinogens, heroin, or prescription-type psychotherapeutics used nonmedically, including data from original methamphetamine questions but not including new methamphetamine items added in 2005 and 2006. ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"6,202","5,904","6,514",819,763,879,"2,231","2,115","2,352","3,152","2,892","3,435","5,383","5,092","5,689"
2,Northeast,"1,157","1,054","1,270",126,112,143,408,373,447,622,534,725,"1,030",930,"1,141"
3,Midwest,"1,270","1,172","1,375",164,148,181,469,433,508,637,556,729,"1,106","1,012","1,208"
4,South,"2,234","2,072","2,409",306,279,336,791,735,852,"1,137",998,"1,295","1,928","1,772","2,098"
5,West,"1,541","1,405","1,689",223,196,253,563,511,619,756,645,885,"1,318","1,189","1,461"
6,Alabama,98,76,125,11,8,15,31,25,40,55,38,80,87,66,113
7,Alaska,16,13,20,2,1,2,7,5,9,8,5,11,14,11,18
8,Arizona,157,123,199,22,16,30,51,40,65,83,58,119,135,103,175
9,Arkansas,53,43,67,8,6,10,19,15,24,27,19,39,46,36,59
10,California,791,692,903,119,99,142,303,262,350,369,292,466,672,579,780
11,Colorado,113,91,141,17,12,23,42,33,53,54,38,77,96,75,123
12,Connecticut,75,60,95,9,7,12,29,23,37,37,26,53,66,51,85
13,Delaware,20,16,26,2,1,3,8,6,9,11,8,16,18,14,24
14,District of Columbia,18,14,23,1,1,2,7,6,9,10,7,14,17,13,22
15,Florida,369,319,428,56,46,67,125,107,146,189,148,242,314,266,371
16,Georgia,208,168,258,27,21,36,72,58,89,109,77,154,181,142,229
17,Hawaii,25,19,33,3,2,4,9,7,12,14,9,20,23,17,30
18,Idaho,28,22,35,5,3,6,9,7,12,14,9,20,23,18,29
19,Illinois,246,212,286,35,28,43,90,76,106,122,95,157,212,179,250
20,Indiana,132,105,166,16,12,22,54,43,68,62,43,91,117,91,149
21,Iowa,52,41,66,7,5,9,21,16,26,25,17,36,45,35,59
22,Kansas,49,39,62,7,6,10,18,14,24,23,16,34,42,32,54
23,Kentucky,82,64,105,9,7,12,27,21,35,46,32,66,73,56,95
24,Louisiana,96,77,121,12,9,16,34,27,43,50,35,72,85,66,108
