"Table 25. Had Serious Thoughts of Suicide in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2013 and 2014 NSDUHs  ",,,,,,,,,,
"NOTE: Respondents were asked, ""At any time in the past 12 months, did you seriously think about trying to kill yourself?"" If they answered ""Yes,"" they were categorized as having serious thoughts of suicide in the past year. ",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,"9,406","8,978","9,848","2,595","2,478","2,717","6,812","6,410","7,238"
2,Northeast,"1,652","1,525","1,790",467,432,506,"1,185","1,067","1,317"
3,Midwest,"2,093","1,955","2,240",581,544,619,"1,513","1,384","1,653"
4,South,"3,415","3,187","3,656",889,831,950,"2,526","2,312","2,760"
5,West,"2,245","2,071","2,432",658,604,717,"1,587","1,428","1,763"
6,Alabama,145,119,177,39,32,48,106,82,137
7,Alaska,22,18,27,7,6,9,15,11,19
8,Arizona,210,170,258,52,41,65,158,121,206
9,Arkansas,101,83,123,21,17,27,80,62,101
10,California,"1,093",960,"1,243",350,306,399,744,625,884
11,Colorado,158,131,189,43,35,53,115,90,146
12,Connecticut,92,75,113,26,21,33,66,51,86
13,Delaware,27,22,33,7,6,9,20,15,25
14,District of Columbia,21,17,25,6,5,7,15,12,19
15,Florida,529,456,612,138,120,159,390,322,472
16,Georgia,293,243,353,75,61,92,218,171,277
17,Hawaii,43,34,54,10,8,13,33,25,43
18,Idaho,53,43,64,13,10,16,40,31,51
19,Illinois,355,308,407,101,86,117,254,212,304
20,Indiana,203,168,244,61,49,75,142,110,182
21,Iowa,94,78,114,27,22,34,67,52,86
22,Kansas,81,66,99,21,17,26,60,46,77
23,Kentucky,143,117,174,35,28,43,107,83,138
24,Louisiana,144,119,175,37,29,46,108,84,137
25,Maine,45,37,56,10,8,12,35,27,46
26,Maryland,157,129,192,47,38,58,110,85,143
27,Massachusetts,208,170,253,57,46,72,151,116,194
28,Michigan,340,295,391,94,82,108,246,205,296
29,Minnesota,173,142,211,42,34,53,131,101,168
30,Mississippi,88,73,107,22,18,28,66,51,84
31,Missouri,191,157,232,52,42,65,139,108,179
32,Montana,36,29,43,9,8,12,26,20,34
33,Nebraska,56,46,68,17,14,21,39,30,50
34,Nevada,92,75,113,24,19,30,68,53,88
35,New Hampshire,43,36,52,15,12,18,28,22,37
36,New Jersey,245,204,293,71,58,87,174,136,221
37,New Mexico,61,50,74,16,13,20,45,35,58
38,New York,565,494,645,161,138,188,404,340,479
39,North Carolina,330,270,402,76,61,93,254,198,326
40,North Dakota,21,18,26,7,6,9,14,11,18
41,Ohio,385,336,441,103,89,119,282,237,336
42,Oklahoma,111,91,135,31,25,38,80,62,103
43,Oregon,138,115,166,34,28,42,104,82,131
44,Pennsylvania,396,343,458,111,96,129,285,236,344
45,Rhode Island,35,29,42,10,8,13,24,19,31
46,South Carolina,150,124,182,36,29,45,114,89,146
47,South Dakota,24,20,29,7,6,9,17,14,22
48,Tennessee,216,177,262,53,42,66,163,127,208
49,Texas,658,571,758,185,158,217,473,394,567
50,Utah,97,81,116,37,30,46,60,47,77
51,Vermont,23,19,29,5,4,7,18,14,23
52,Virginia,242,201,290,66,53,81,176,139,223
53,Washington,226,188,272,59,47,72,168,132,213
54,West Virginia,60,49,73,14,11,18,46,36,59
55,Wisconsin,170,139,206,47,38,59,123,95,158
56,Wyoming,17,14,20,5,4,6,12,9,15
