State,year,Total # Polled,Ages 12-17,Ages 18-25,Ages 26+,Ages 18+
Alabama,2013,"1,752",43,273,"1,435","1,709"
Alabama,2014,"1,803",40,275,"1,488","1,763"
Alabama,2015,"1,779",33,276,"1,470","1,745"
Alabama,2016,"1,656",31,265,"1,361","1,626"
Alabama,2017,"1,709",33,259,"1,417","1,675"
Alaska,2013,306,6,47,253,299
Alaska,2014,313,6,50,257,307
Alaska,2015,319,7,52,261,313
Alaska,2016,307,6,47,254,301
Alaska,2017,302,6,42,254,296
Arizona,2013,"2,762",70,416,"2,277","2,692"
Arizona,2014,"2,846",65,425,"2,357","2,782"
Arizona,2015,"2,865",57,418,"2,390","2,808"
Arizona,2016,"2,901",44,403,"2,454","2,857"
Arizona,2017,"2,917",46,393,"2,478","2,872"
Arkansas,2013,"1,007",26,176,805,981
Arkansas,2014,"1,035",23,176,836,"1,012"
Arkansas,2015,"1,024",22,165,838,"1,002"
Arkansas,2016,988,21,157,810,967
Arkansas,2017,987,21,152,814,966
California,2013,"15,611",362,"2,567","12,683","15,249"
California,2014,"16,204",370,"2,577","13,257","15,834"
California,2015,"16,688",334,"2,534","13,820","16,354"
California,2016,"16,226",276,"2,380","13,570","15,951"
California,2017,"16,575",272,"2,320","13,984","16,303"
Colorado,2013,"2,623",53,387,"2,183","2,571"
Colorado,2014,"2,698",58,388,"2,251","2,640"
Colorado,2015,"2,651",52,397,"2,202","2,599"
Colorado,2016,"2,628",43,380,"2,205","2,586"
Colorado,2017,"2,764",42,371,"2,351","2,722"
Connecticut,2013,"1,846",41,250,"1,555","1,805"
Connecticut,2014,"1,828",37,250,"1,541","1,791"
Connecticut,2015,"1,844",39,259,"1,546","1,805"
Connecticut,2016,"1,805",31,262,"1,512","1,774"
Connecticut,2017,"1,843",32,261,"1,551","1,812"
Delaware,2013,424,8,63,353,416
Delaware,2014,441,7,64,370,434
Delaware,2015,425,7,62,356,418
Delaware,2016,416,6,56,354,409
Delaware,2017,415,6,52,357,409
District of Columbia,2013,357,4,70,284,353
District of Columbia,2014,381,4,68,309,377
District of Columbia,2015,393,4,70,320,389
District of Columbia,2016,397,3,69,325,394
District of Columbia,2017,391,3,63,326,389
Florida,2013,"8,540",177,"1,151","7,211","8,362"
