State,year,Total # Polled,Ages 12-17,Ages 18-25,Ages 26+,Ages 18+,,,Ages 12-17,Ages 18-25,Ages 26+,Ages 18+
Alabama,2013,"1,752",43,273,"1,435","1,709",,,2.4543379,15.58219178,81.90639269,97.5456621
Alabama,2014,"1,803",40,275,"1,488","1,763",,,2.218524681,15.25235718,82.52911814,97.78147532
Alabama,2015,"1,779",33,276,"1,470","1,745",,,1.854974705,15.5143339,82.6306914,98.08881394
Alabama,2016,"1,656",31,265,"1,361","1,626",,,1.871980676,16.00241546,82.18599034,98.1884058
Alabama,2017,"1,709",33,259,"1,417","1,675",,,1.930953774,15.15506144,82.91398479,98.01053248
Alaska,2013,306,6,47,253,299,,,1.960784314,15.35947712,82.67973856,97.7124183
Alaska,2014,313,6,50,257,307,,,1.916932907,15.97444089,82.1086262,98.08306709
Alaska,2015,319,7,52,261,313,,,2.194357367,16.30094044,81.81818182,98.11912226
Alaska,2016,307,6,47,254,301,,,1.954397394,15.30944625,82.73615635,98.04560261
Alaska,2017,302,6,42,254,296,,,1.986754967,13.90728477,84.10596026,98.01324503
Arizona,2013,"2,762",70,416,"2,277","2,692",,,2.534395366,15.0615496,82.44026068,97.46560463
Arizona,2014,"2,846",65,425,"2,357","2,782",,,2.283907238,14.93323963,82.81799016,97.7512298
Arizona,2015,"2,865",57,418,"2,390","2,808",,,1.989528796,14.58987784,83.42059337,98.0104712
Arizona,2016,"2,901",44,403,"2,454","2,857",,,1.516718373,13.89176146,84.59152017,98.48328163
Arizona,2017,"2,917",46,393,"2,478","2,872",,,1.576962633,13.47274597,84.9502914,98.45731916
Arkansas,2013,"1,007",26,176,805,981,,,2.581926514,17.47765641,79.94041708,97.41807349
Arkansas,2014,"1,035",23,176,836,"1,012",,,2.222222222,17.00483092,80.77294686,97.77777778
Arkansas,2015,"1,024",22,165,838,"1,002",,,2.1484375,16.11328125,81.8359375,97.8515625
Arkansas,2016,988,21,157,810,967,,,2.125506073,15.89068826,81.98380567,97.87449393
Arkansas,2017,987,21,152,814,966,,,2.127659574,15.40020263,82.47213779,97.87234043
California,2013,"15,611",362,"2,567","12,683","15,249",,,2.318877714,16.44353341,81.24399462,97.68112229
California,2014,"16,204",370,"2,577","13,257","15,834",,,2.283386818,15.90348062,81.81313256,97.71661318
California,2015,"16,688",334,"2,534","13,820","16,354",,,2.001438159,15.18456376,82.81399808,97.99856184
California,2016,"16,226",276,"2,380","13,570","15,951",,,1.700973746,14.66781708,83.63120917,98.3051892
California,2017,"16,575",272,"2,320","13,984","16,303",,,1.641025641,13.99698341,84.36802413,98.35897436
Colorado,2013,"2,623",53,387,"2,183","2,571",,,2.020587114,14.75409836,83.22531453,98.01753717
Colorado,2014,"2,698",58,388,"2,251","2,640",,,2.149740549,14.38102298,83.43217198,97.85025945
Colorado,2015,"2,651",52,397,"2,202","2,599",,,1.961523953,14.97548095,83.0629951,98.03847605
Colorado,2016,"2,628",43,380,"2,205","2,586",,,1.636225266,14.45966514,83.90410959,98.40182648
Colorado,2017,"2,764",42,371,"2,351","2,722",,,1.519536903,13.42257598,85.05788712,98.4804631
Connecticut,2013,"1,846",41,250,"1,555","1,805",,,2.221018418,13.54279523,84.23618635,97.77898158
Connecticut,2014,"1,828",37,250,"1,541","1,791",,,2.024070022,13.6761488,84.29978118,97.97592998
Connecticut,2015,"1,844",39,259,"1,546","1,805",,,2.114967462,14.04555315,83.83947939,97.88503254
Connecticut,2016,"1,805",31,262,"1,512","1,774",,,1.717451524,14.51523546,83.76731302,98.28254848
Connecticut,2017,"1,843",32,261,"1,551","1,812",,,1.736299512,14.16169289,84.15626696,98.31795985
Delaware,2013,424,8,63,353,416,,,1.886792453,14.85849057,83.25471698,98.11320755
Delaware,2014,441,7,64,370,434,,,1.587301587,14.51247166,83.90022676,98.41269841
Delaware,2015,425,7,62,356,418,,,1.647058824,14.58823529,83.76470588,98.35294118
Delaware,2016,416,6,56,354,409,,,1.442307692,13.46153846,85.09615385,98.31730769
Delaware,2017,415,6,52,357,409,,,1.445783133,12.53012048,86.02409639,98.55421687
District of Columbia,2013,357,4,70,284,353,,,1.120448179,19.60784314,79.55182073,98.87955182
District of Columbia,2014,381,4,68,309,377,,,1.049868766,17.84776903,81.1023622,98.95013123
District of Columbia,2015,393,4,70,320,389,,,1.017811705,17.81170483,81.42493639,98.9821883
District of Columbia,2016,397,3,69,325,394,,,0.755667506,17.38035264,81.86397985,99.24433249
District of Columbia,2017,391,3,63,326,389,,,0.767263427,16.11253197,83.37595908,99.48849105
Florida,2013,"8,540",177,"1,151","7,211","8,362",,,2.072599532,13.47775176,84.43793911,97.91569087
Florida,2014,"8,917",170,"1,155","7,592","8,747",,,1.906470786,12.95278681,85.1407424,98.09352921
Florida,2015,"9,369",150,"1,168","8,051","9,219",,,1.601024656,12.46664532,85.93233002,98.39897534
Florida,2016,"9,301",129,"1,134","8,038","9,172",,,1.38694764,12.19223739,86.42081497,98.61305236
Florida,2017,"9,182",140,"1,106","7,936","9,042",,,1.524722283,12.04530603,86.42997168,98.47527772
Georgia,2013,"3,810",94,582,"3,135","3,716",,,2.467191601,15.27559055,82.28346457,97.5328084
Georgia,2014,"3,980",89,596,"3,295","3,891",,,2.236180905,14.97487437,82.78894472,97.7638191
Georgia,2015,"4,058",76,614,"3,369","3,983",,,1.872843765,15.13060621,83.02119271,98.15179892
Georgia,2016,"3,859",59,599,"3,201","3,800",,,1.528893496,15.522156,82.94895051,98.4711065
Georgia,2017,"3,817",67,561,"3,189","3,750",,,1.755305214,14.69740634,83.54728845,98.24469479
Hawaii,2013,568,11,80,477,557,,,1.936619718,14.08450704,83.97887324,98.06338028
Hawaii,2014,566,11,83,472,556,,,1.943462898,14.66431095,83.39222615,98.23321555
Hawaii,2015,538,10,78,450,527,,,1.858736059,14.49814126,83.64312268,97.95539033
Hawaii,2016,509,9,70,430,501,,,1.768172888,13.7524558,84.47937132,98.42829077
Hawaii,2017,523,8,71,444,515,,,1.529636711,13.57552581,84.89483748,98.47036329
Idaho,2013,625,16,86,523,609,,,2.56,13.76,83.68,97.44
Idaho,2014,620,15,87,518,605,,,2.419354839,14.03225806,83.5483871,97.58064516
Idaho,2015,595,15,83,498,581,,,2.521008403,13.94957983,83.69747899,97.64705882
Idaho,2016,607,13,84,510,594,,,2.141680395,13.83855025,84.01976936,97.8583196
Idaho,2017,646,14,88,544,632,,,2.167182663,13.62229102,84.21052632,97.83281734
Illinois,2013,"5,935",129,891,"4,915","5,806",,,2.173546757,15.0126369,82.81381634,97.82645324
Illinois,2014,"5,959",114,857,"4,988","5,846",,,1.913072663,14.38160765,83.70531968,98.10370868
Illinois,2015,"5,826",101,840,"4,884","5,725",,,1.733607964,14.41812564,83.83110196,98.26639204
Illinois,2016,"5,726",98,834,"4,794","5,628",,,1.711491443,14.56514146,83.7233671,98.28850856
Illinois,2017,"5,842",104,807,"4,930","5,738",,,1.780212256,13.81376241,84.38890791,98.21978774
Indiana,2013,"2,794",65,461,"2,268","2,729",,,2.326413744,16.49964209,81.17394417,97.67358626
Indiana,2014,"2,782",62,457,"2,263","2,720",,,2.228612509,16.42703091,81.34435658,97.77138749
Indiana,2015,"2,761",54,444,"2,263","2,707",,,1.955813111,16.08113003,81.96305686,98.04418689
Indiana,2016,"2,774",50,442,"2,282","2,724",,,1.802451334,15.93366979,82.26387888,98.19754867
Indiana,2017,"2,755",50,444,"2,261","2,705",,,1.814882033,16.11615245,82.06896552,98.18511797
Iowa,2013,"1,470",30,236,"1,204","1,440",,,2.040816327,16.05442177,81.9047619,97.95918367
Iowa,2014,"1,445",26,241,"1,178","1,419",,,1.799307958,16.67820069,81.52249135,98.20069204
