,,,Premature death,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,,,Diabetes monitoring,,,,,,,Mammography screening,,,,,,,High school graduation,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,Driving alone to work,,,,,,,Long commute - driving alone,,,,
FIPS,State,County,# Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,# Low Birthweight Births,# Live Births,% LBW,95% CI - Low,95% CI - High,Z-Score,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Births,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,Preventable Hosp. Rate (white),Preventable Hosp. Rate (black),# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,% Receiving HbA1c (white),% Receiving HbA1c (black),# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,% Mammography (white),% Mammography (black),Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty - Black,% Children in Poverty - Hispanic,% Children in Poverty - White,80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,% Drive Alone - Black,% Drive Alone - Hispanic,% Drive Alone - White,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
37000,North Carolina,,119253,7228,7168,7288,,18,17,20,,4.0,3.7,4.2,,3.7,3.5,4.0,,,77007,859671,9,9,9,,19,18,20,,30,,,,6.8,,24,,,,75,,15,14,16,,2096,6481,32,32,33,,47147,479,,79985,2235239,36,36,36,,1254138,15,15,16,,7051,71,1410:1,,5324,53,1886:1,,20490,204,490:1,,946441,49,49,49,,48,62,131556,89,88,89,,1,1,87790,67.9,67.4,68.5,,0.7,0.7,109787,86,,1682145,2589269,65.0,64.6,65.4,,273773,4769251,5.7,,23,23,24,,,,,94509,19790,4.8,,818560,2261660,36,36,37,,11472,11.5,,33644,342,,32214,65,65,66,,9.1,,,,617270,17,16,17,,81,81,81,,,,,3537155,31,31,31,
37001,North Carolina,Alamance,2066,7993,7471,8515,-0.05,19,18,19,-0.05,4.0,3.8,4.1,-0.35,3.9,3.7,4.0,-0.22,,1218,12729,10,9,10,0.23,19,19,20,0.16,35,31,39,0.88,6.5,0.37,25,22,29,-0.46,84,-0.87,15,15,16,0.21,25,84,30,24,35,0.00,628,407,0.05,1360,39641,34,33,36,-0.56,21046,17,15,18,0.05,79,51,1972:1,0.12,74,47,2139:1,-0.27,191,121,829:1,0.22,11068,41,37,45,-0.93,42,38,1426,88,84,93,-0.08,1,1,948,67.8,62.6,73.1,-0.14,0.7,0.7,1835,83,0.70,22188,37816,58.7,55.6,61.7,-0.17,4123,77083,5.3,-0.78,26,22,30,-0.23,39,44,19,86450,18214,4.7,0.08,14318,35504,40,36,44,0.23,169,10.8,0.66,615,396,0.81,498,64,59,70,-0.77,9.3,0.41,Yes,0.90,10240,17,16,18,0.15,83,82,84,0.29,84,67,85,58128,32,30,33,-0.19
37003,North Carolina,Alexander,528,7297,6348,8246,-0.48,17,16,18,-0.51,4.0,3.8,4.2,-0.36,3.8,3.6,4.0,-0.40,,208,2595,8,7,9,-0.73,19,18,19,-0.17,34,28,40,0.61,7.9,-1.16,26,21,32,-0.15,22,2.06,15,14,16,0.21,7,33,21,12,31,-0.88,71,192,-0.93,280,7529,37,33,42,-0.32,4743,16,14,18,-0.07,7,19,5342:1,1.18,6,16,6221:1,0.99,14,38,2666:1,0.96,4143,56,48,63,0.10,52,,626,90,82,97,-0.30,1,1,356,66.3,57.8,74.8,0.14,0.7,0.8,422,87,-0.34,4111,9116,45.1,38.8,51.4,1.27,873,17546,5.0,-1.04,22,17,27,-0.76,,32,26,77510,16569,4.7,-0.04,2354,7870,30,22,38,-0.90,63,16.8,-0.95,48,130,-0.97,157,85,71,98,0.54,9.6,0.83,No,-1.10,1975,14,11,17,-0.89,87,85,88,1.22,,,84,13677,36,32,40,0.28
37005,North Carolina,Alleghany,165,7018,5178,8858,-0.65,18,17,19,-0.22,4.2,4.0,4.4,0.13,4.0,3.8,4.1,0.19,,56,673,8,6,10,-0.54,19,18,19,-0.14,27,21,34,-1.09,7.9,-1.16,30,22,39,0.83,73,-0.32,14,13,14,-0.53,3,9,33,15,51,0.37,14,128,-1.22,113,2178,52,42,61,0.91,1713,21,19,23,2.02,12,110,907:1,-1.85,2,18,5419:1,0.89,22,203,493:1,-0.52,1754,74,61,86,1.38,,,245,91,79,100,-0.65,,,153,68.6,55.5,81.8,-0.29,,,103,88,-0.45,1070,2281,46.9,39.0,54.8,1.08,277,4484,6.2,-0.19,36,28,44,1.14,,35,22,73839,16479,4.5,-0.37,631,2004,31,21,42,-0.73,19,17.5,-1.12,15,137,-0.92,45,82,60,110,0.40,8.3,-0.99,No,-1.10,635,13,10,17,-1.15,82,76,88,0.04,,,83,3436,31,25,37,-0.26
37007,North Carolina,Anson,442,10238,8708,11769,1.32,24,23,25,1.52,4.6,4.4,4.7,0.98,4.0,3.9,4.2,0.42,,214,1888,11,10,13,1.33,22,21,23,1.31,35,28,42,0.76,6.0,0.91,29,24,36,0.68,6,2.81,13,13,14,-0.99,7,30,23,14,34,-0.67,167,638,1.10,293,5781,51,45,57,0.81,3240,17,15,19,0.13,11,43,2342:1,0.39,6,23,4293:1,0.69,22,85,1171:1,0.53,3013,51,44,59,-0.19,51,66,524,88,80,96,0.10,1,1,263,60.5,51.1,69.9,1.23,0.6,0.6,275,85,0.14,3035,6861,44.2,38.5,49.9,1.37,711,10853,6.6,0.08,36,27,44,1.10,46,,18,66901,13926,4.8,0.17,2832,5383,53,45,60,1.56,27,10.5,0.76,119,514,1.59,107,82,66,97,0.37,9.5,0.69,No,-1.10,1565,16,13,20,-0.15,84,79,88,0.42,78,,91,8092,36,30,41,0.24
37009,North Carolina,Ashe,406,8761,7308,10214,0.42,17,16,18,-0.55,4.0,3.8,4.2,-0.33,3.9,3.7,4.1,-0.09,,148,1750,8,7,10,-0.46,17,17,18,-0.66,29,23,36,-0.59,7.7,-0.94,24,18,30,-0.74,63,0.12,15,14,15,-0.17,5,24,21,11,33,-0.92,20,74,-1.47,215,4593,47,41,53,0.49,4104,20,18,22,1.53,13,48,2087:1,0.21,7,26,3860:1,0.58,38,141,711:1,0.04,4124,80,71,89,1.83,,,511,93,84,100,-0.87,,,340,65.6,57.0,74.2,0.27,,,222,86,-0.10,3224,6045,53.3,46.3,60.3,0.40,743,12326,6.0,-0.29,32,25,38,0.57,,63,27,72583,15858,4.6,-0.21,1411,4780,30,22,37,-0.94,34,12.5,0.21,21,78,-1.32,101,75,60,89,-0.10,8.2,-1.13,Yes,0.90,1840,16,13,19,-0.36,80,76,85,-0.41,,,81,9194,38,33,44,0.50
37011,North Carolina,Avery,250,6589,5201,7976,-0.91,18,17,19,-0.26,4.1,3.9,4.3,-0.09,3.8,3.6,4.0,-0.43,,78,1039,8,6,9,-1.05,18,18,19,-0.20,26,20,33,-1.36,8.0,-1.27,24,18,31,-0.74,100,-1.60,16,15,17,0.62,4,13,31,16,46,0.10,7,40,-1.62,95,3857,25,20,30,-1.37,2459,21,18,23,1.91,6,34,2962:1,0.68,3,17,5896:1,0.95,62,351,285:1,-1.83,2924,88,77,99,2.38,,,319,85,75,95,0.56,,,264,61.0,51.6,70.4,1.14,0.6,,187,92,-1.43,2503,4561,54.9,47.0,62.8,0.23,454,7610,6.0,-0.34,30,22,38,0.31,,65,12,78774,17699,4.5,-0.42,624,2786,22,13,32,-1.71,35,19.7,-1.72,24,139,-0.91,67,76,59,96,-0.02,8.3,-0.99,Yes,0.90,945,13,10,17,-1.14,80,75,84,-0.54,,,81,5374,36,29,43,0.29
37013,North Carolina,Beaufort,844,9627,8547,10707,0.95,19,18,19,-0.01,4.1,4.0,4.3,-0.01,3.9,3.7,4.0,-0.08,,359,3630,10,9,11,0.43,18,17,19,-0.39,33,27,39,0.37,6.7,0.15,27,22,33,0.06,55,0.49,14,13,14,-0.56,17,48,35,28,43,0.58,212,447,0.23,479,9476,51,46,55,0.80,5791,16,14,17,-0.36,25,53,1903:1,0.06,17,36,2803:1,0.18,47,99,1014:1,0.42,7517,46,41,50,-0.61,42,68,1156,89,83,94,-0.11,1,1,792,72.9,66.9,78.8,-1.08,0.7,0.7,523,84,0.37,5560,9908,56.1,50.9,61.3,0.10,1335,20144,6.6,0.14,33,26,41,0.78,46,26,14,80649,16347,4.9,0.39,3917,10015,39,32,46,0.10,66,13.9,-0.15,154,329,0.36,218,92,80,104,1.00,8.6,-0.57,No,-1.10,3165,16,14,19,-0.06,86,85,88,1.11,84,,86,15979,32,28,36,-0.15
37015,North Carolina,Bertie,306,9098,7432,10763,0.62,24,23,25,1.48,4.6,4.4,4.8,1.06,4.0,3.9,4.2,0.47,,178,1414,13,11,14,2.11,21,21,22,1.14,36,29,42,0.98,5.4,1.57,31,25,38,0.99,29,1.73,12,12,13,-1.30,8,32,25,16,35,-0.49,105,516,0.55,212,4362,49,42,55,0.64,2157,14,13,16,-0.89,5,25,4021:1,0.98,2,10,10100:1,1.24,8,40,2525:1,0.94,3154,53,46,61,-0.05,62,61,554,88,80,96,0.04,1,1,290,75.5,65.5,85.5,-1.58,0.7,0.8,221,85,0.14,1759,4538,38.8,32.0,45.5,1.95,627,8630,7.3,0.59,36,27,45,1.14,49,,8,68161,13547,5.0,0.56,1810,3820,47,35,60,0.99,56,27.9,-3.91,32,154,-0.81,81,79,63,99,0.20,8.4,-0.85,No,-1.10,1440,19,15,22,0.78,81,77,84,-0.29,77,,85,5740,30,24,36,-0.37
