,,,Health Outcomes,,Health Factors,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank
37000,North Carolina,,,,,
37001,North Carolina,Alamance,-0.04,51,-0.01,57
37003,North Carolina,Alexander,-0.51,30,-0.16,37
37005,North Carolina,Alleghany,-0.42,33,-0.04,54
37007,North Carolina,Anson,1.22,89,0.56,87
37009,North Carolina,Ashe,0.02,53,-0.06,50
37011,North Carolina,Avery,-0.74,22,-0.16,39
37013,North Carolina,Beaufort,0.55,78,0.06,63
37015,North Carolina,Bertie,1.03,86,0.31,77
37017,North Carolina,Bladen,1.37,91,0.87,93
37019,North Carolina,Brunswick,-0.25,44,-0.24,30
37021,North Carolina,Buncombe,-0.66,25,-0.82,5
37023,North Carolina,Burke,0.04,56,-0.22,33
37025,North Carolina,Cabarrus,-0.85,14,-0.63,11
37027,North Carolina,Caldwell,0.20,67,0.04,59
37029,North Carolina,Camden,-1.45,4,-0.83,4
37031,North Carolina,Carteret,-0.71,23,-0.53,16
37033,North Carolina,Caswell,0.03,54,0.28,75
37035,North Carolina,Catawba,-0.32,41,-0.38,22
37037,North Carolina,Chatham,-1.07,9,-0.71,8
37039,North Carolina,Cherokee,0.75,83,-0.22,32
37041,North Carolina,Chowan,0.06,57,0.25,73
37043,North Carolina,Clay,-0.49,32,-0.24,29
37045,North Carolina,Cleveland,0.63,82,0.09,65
37047,North Carolina,Columbus,1.85,97,0.58,89
37049,North Carolina,Craven,-0.36,35,-0.37,23
37051,North Carolina,Cumberland,0.58,79,0.15,67
37053,North Carolina,Currituck,-1.03,10,-0.41,19
37055,North Carolina,Dare,-1.15,6,-0.67,9
37057,North Carolina,Davidson,0.12,61,-0.04,53
37059,North Carolina,Davie,-0.92,12,-0.56,15
37061,North Carolina,Duplin,-0.02,52,0.48,83
37063,North Carolina,Durham,-0.83,15,-0.41,20
37065,North Carolina,Edgecombe,1.88,98,1.04,98
37067,North Carolina,Forsyth,-0.36,36,-0.12,43
37069,North Carolina,Franklin,-0.16,46,0.11,66
37071,North Carolina,Gaston,0.33,71,0.05,61
37073,North Carolina,Gates,-0.63,27,-0.10,44
37075,North Carolina,Graham,1.22,90,0.42,80
37077,North Carolina,Granville,-0.37,34,-0.09,45
37079,North Carolina,Greene,0.13,63,0.45,82
37081,North Carolina,Guilford,-0.52,29,-0.27,27
37083,North Carolina,Halifax,1.65,96,0.92,94
37085,North Carolina,Harnett,-0.07,49,0.29,76
37087,North Carolina,Haywood,-0.12,48,-0.31,26
37089,North Carolina,Henderson,-0.86,13,-0.73,7
37091,North Carolina,Hertford,1.42,93,0.42,79
37093,North Carolina,Hoke,0.08,60,0.67,91
37095,North Carolina,Hyde,-1.12,7,-0.03,56
37097,North Carolina,Iredell,-0.68,24,-0.46,18
37099,North Carolina,Jackson,-0.61,28,-0.07,48
37101,North Carolina,Johnston,-0.74,21,-0.21,34
37103,North Carolina,Jones,0.23,68,-0.16,38
37105,North Carolina,Lee,0.03,55,-0.06,49
37107,North Carolina,Lenoir,1.20,88,0.44,81
37109,North Carolina,Lincoln,-0.75,18,-0.35,24
37111,North Carolina,McDowell,0.13,62,-0.09,46
37113,North Carolina,Macon,-0.34,38,-0.26,28
37115,North Carolina,Madison,-0.35,37,-0.32,25
37117,North Carolina,Martin,1.02,85,0.52,85
37119,North Carolina,Mecklenburg,-1.10,8,-0.64,10
37121,North Carolina,Mitchell,-0.31,42,-0.13,41
37123,North Carolina,Montgomery,0.47,76,0.25,72
37125,North Carolina,Moore,-0.75,19,-0.57,14
37127,North Carolina,Nash,0.20,66,0.16,68
37129,North Carolina,New Hanover,-0.97,11,-0.61,13
37131,North Carolina,Northampton,1.59,94,0.76,92
37133,North Carolina,Onslow,-0.66,26,-0.20,35
37135,North Carolina,Orange,-1.82,2,-1.36,1
37137,North Carolina,Pamlico,0.24,70,-0.14,40
37139,North Carolina,Pasquotank,-0.20,45,0.05,60
37141,North Carolina,Pender,-0.75,20,-0.22,31
37143,North Carolina,Perquimans,-0.14,47,-0.06,51
37145,North Carolina,Person,0.15,64,0.05,62
37147,North Carolina,Pitt,0.08,59,0.17,71
37149,North Carolina,Polk,-0.77,16,-0.75,6
37151,North Carolina,Randolph,-0.34,39,-0.05,52
37153,North Carolina,Richmond,1.12,87,0.95,96
37155,North Carolina,Robeson,2.55,100,1.52,100
37157,North Carolina,Rockingham,0.44,75,0.28,74
37159,North Carolina,Rowan,0.34,73,0.09,64
37161,North Carolina,Rutherford,0.48,77,0.17,69
37163,North Carolina,Sampson,0.58,80,0.49,84
37165,North Carolina,Scotland,2.06,99,1.33,99
37167,North Carolina,Stanly,-0.33,40,-0.18,36
37169,North Carolina,Stokes,-0.51,31,-0.03,55
37171,North Carolina,Surry,-0.04,50,-0.07,47
37173,North Carolina,Swain,1.39,92,0.58,88
37175,North Carolina,Transylvania,-0.75,17,-0.61,12
37177,North Carolina,Tyrrell,0.43,74,0.54,86
37179,North Carolina,Union,-1.45,3,-0.92,3
37181,North Carolina,Vance,1.60,95,1.04,97
37183,North Carolina,Wake,-1.91,1,-1.05,2
37185,North Carolina,Warren,1.01,84,0.93,95
37187,North Carolina,Washington,0.07,58,0.41,78
37189,North Carolina,Watauga,-1.28,5,-0.47,17
37191,North Carolina,Wayne,0.23,69,0.17,70
37193,North Carolina,Wilkes,0.61,81,0.04,58
37195,North Carolina,Wilson,0.33,72,0.67,90
37197,North Carolina,Yadkin,0.19,65,-0.13,42
37199,North Carolina,Yancey,-0.29,43,-0.39,21
