age_key,Country_Territory,On-premise,Off-premise,Notes,Legislation
0,Afghanistan,[all sale is prohibited],[all sale is prohibited],,Law to Fight Against Alcoholic Beverages and Narcotic Substances and to Control Them
1,Albania,18,18,,Law 9518 of 18 April 2006 For the protection of minors from the use of alcohol
2,Algeria,18,18,,Order No. 26-75 of 1975 Art 14
3,Andorra,18,18,,Decree 16-6-2004 Approving Regulation of Sale and Consumption of Alcoholic Beverages
4,Antigua and Barbuda,16,[none],,Licensing (intoxicating liquor) Act Ch 249
5,Argentina,18,18,,"Law No24.788 Combatting Alcoholism, published in Official Bulletin 3rd April 1997"
6,Armenia,18,18,,Code of Administrative Offences Art 158
7,Australia,18*,18*,Regulated at state / territory level. Exceptions may apply if accompanied by a responsible adult.,"Capital Territory: Liquor Act 2010 New South Wales: Liquor Act 2007 Northern Territory: Liquor Act Queensland: Liquor Act 1992 South Australia: Liquor Licensing Act 1997 Tasmania: Liquor Licensing Act 1990, Sale or Supply of Alcohol to Youths (Police Offences Act 1935) Victoria: Liquor Control Reform Act 1998 Western Australia: Liquor Control Act 1988"
8,Austria,[varies by jurisdiction and by beverage],[varies by jurisdiction and by beverage],"Both on- and off-premise: Each federal state prohibits sale of alcohol beverages to anyone under 16 years of age. Carinthia, Lower Austria, Upper Austria, Salzburg, Styria, Tirol, and Voralberg also prohibit sale of spirits and mixed drinks (whether pre-mixed drinks or cocktails) to anyone under 18 years of age.",National Youth Protection Act 2002 Help.gv.at - Overview by state
9,Azerbaijan,18,18,,Law on Children's Rights Art 9
10,Bahamas,18,18,,Liquor Licences Act Ch 372: 22
11,Bahrain,[all sale is prohibited],[all sale is prohibited],,Penal Code 1976 as amended through 2010 Art 307
12,Bangladesh,[varies by religion],[varies by religion],Alcohol may not be purchased by Muslims.,"Narcotics Control Act, 1990"
13,Belarus,18,18,,"Law No. 429-Z on State Regulation of Production and Turnover of Alcoholic, Non-food Alcohol-containing Products and Non-food Ethyl Alcohol Art 11.4"
14,Belgium,[varies by beverage],[varies by beverage],"Both on- and off-premise: 18 for spirits, 16 for other alcohol beverages",Act of 24 January 1977 on the protection of consumer health concerning food and other products (as amended through 2009) Art 6
